index_code.string(),date.date(2006-01-02),open.double(),close.double(),low.double(),high.double(),volume.double(),money.double(),change.double()
sz399004,2019-06-10,4750.62,4803.68,4730.38,4821.94,3020995200.0,48846020000.0,0.016294804365
sz399004,2019-06-06,4804.95,4726.66,4708.85,4804.95,2945653500.0,48483890000.0,-0.015779478765
sz399004,2019-06-05,4849.36,4802.44,4788.28,4858.4,2836527600.0,50731810000.0,0.000525008750146
sz399004,2019-06-04,4859.47,4799.92,4772.96,4868.61,2971639000.0,51536300000.0,-0.0125246872943
sz399004,2019-06-03,4895.91,4860.8,4844.01,4938.67,3256918400.0,52206450000.0,-0.00202026838362
sz399004,2019-05-31,4882.34,4870.64,4847.54,4918.51,2773550800.0,43796070000.0,-0.00180962276641
sz399004,2019-05-30,4894.79,4879.47,4832.08,4894.79,3291051600.0,46738740000.0,-0.00571774395674
sz399004,2019-05-29,4885.64,4907.53,4876.51,4943.57,2842397500.0,44382690000.0,-0.00590276441407
sz399004,2019-05-28,4870.82,4936.67,4863.59,4945.9,3849521700.0,59372920000.0,0.0134006926155
sz399004,2019-05-27,4793.12,4871.39,4744.87,4888.02,4042617300.0,57627290000.0,0.0186525420362
sz399004,2019-05-24,4774.44,4782.19,4756.83,4832.34,2756279700.0,43963600000.0,0.00195480278072
sz399004,2019-05-23,4874.92,4772.86,4762.86,4875.04,3541062700.0,55352350000.0,-0.0271144014937
sz399004,2019-05-22,4923.68,4905.88,4881.69,4963.73,3486141000.0,54783620000.0,-0.00684858017981
sz399004,2019-05-21,4848.29,4939.71,4832.69,4964.63,3834005200.0,56728980000.0,0.0204388971176
sz399004,2019-05-20,4890.45,4840.77,4785.47,4898.39,3792552500.0,55292200000.0,-0.0131652175686
sz399004,2019-05-17,5057.13,4905.35,4884.44,5059.37,4543948100.0,67264230000.0,-0.0293893008936
sz399004,2019-05-16,5032.96,5053.88,5009.55,5064.57,3643651600.0,57830460000.0,0.0023104856383
sz399004,2019-05-15,4963.03,5042.23,4963.03,5059.8,3641208500.0,62311140000.0,0.0266986485744
sz399004,2019-05-14,4889.6,4911.11,4889.6,4968.54,3555976300.0,55347420000.0,-0.00647968700057
sz399004,2019-05-13,4941.48,4943.14,4918.74,4994.68,3654757700.0,57616460000.0,-0.0151126023363
sz399004,2019-05-10,4888.01,5018.99,4798.49,5024.49,4934347600.0,76814480000.0,0.0407983824978
sz399004,2019-05-09,4857.23,4822.25,4799.07,4900.04,3378180400.0,53893050000.0,-0.0157890117785
sz399004,2019-05-08,4862.16,4899.61,4851.17,4991.03,3890351200.0,56737880000.0,-0.0131105605575
sz399004,2019-05-07,4912.04,4964.7,4874.0,5011.75,4511978200.0,73494520000.0,0.0200320512821
sz399004,2019-05-06,5039.04,4867.2,4844.1,5074.26,6215558700.0,96059070000.0,-0.0746873609807
sz399004,2019-04-30,5205.96,5260.06,5202.31,5285.21,3853194200.0,66626800000.0,0.00336485821434
sz399004,2019-04-29,5281.5,5242.42,5227.23,5343.29,5529382600.0,85885570000.0,-0.00837573533584
sz399004,2019-04-26,5340.29,5286.7,5281.7,5369.57,4939269100.0,80897140000.0,-0.0157265549219
