index_code.string(),date.date(2006-01-02),open.double(),close.double(),low.double(),high.double(),volume.double(),money.double(),change.double()
sh000040,2019-06-10,2734.08,2784.62,2734.08,2798.99,653466300.0,7509230000.0,0.0118237841923
sh000040,2019-06-06,2867.55,2752.08,2742.43,2867.55,672075500.0,7302380000.0,-0.0378553748479
sh000040,2019-06-05,2863.63,2860.36,2830.88,2893.51,726979500.0,8142030000.0,0.00821628099611
sh000040,2019-06-04,2836.02,2837.05,2818.83,2892.94,740854400.0,9548170000.0,0.00157453072983
sh000040,2019-06-03,2826.28,2832.59,2761.75,2874.56,756665100.0,8879160000.0,0.0021333352202
sh000040,2019-05-31,2810.58,2826.56,2806.57,2851.06,469559600.0,6285890000.0,0.00655950201913
sh000040,2019-05-30,2832.63,2808.14,2775.22,2833.1,482470500.0,6130050000.0,-0.0151853098785
sh000040,2019-05-29,2818.63,2851.44,2815.82,2870.79,563615900.0,7148880000.0,0.0006948685014
sh000040,2019-05-28,2839.05,2849.46,2823.54,2885.59,720539400.0,9043530000.0,0.00230750290197
sh000040,2019-05-27,2754.71,2842.9,2749.46,2852.06,621461200.0,8397140000.0,0.0290035001104
sh000040,2019-05-24,2799.66,2762.77,2757.55,2817.82,589643000.0,7752370000.0,-0.0191012472617
sh000040,2019-05-23,2906.12,2816.57,2803.67,2906.12,707062800.0,10138540000.0,-0.0310976721466
sh000040,2019-05-22,2886.93,2906.97,2870.95,2956.89,648843800.0,10302070000.0,0.0187740940632
sh000040,2019-05-21,2793.11,2853.4,2775.12,2876.17,631450600.0,8317030000.0,0.0238469432424
sh000040,2019-05-20,2757.14,2786.94,2702.17,2801.83,553909500.0,7116420000.0,0.0144250193826
sh000040,2019-05-17,2846.41,2747.31,2729.73,2875.02,643532600.0,7604980000.0,-0.0297402102051
sh000040,2019-05-16,2838.05,2831.52,2801.81,2838.78,605676500.0,6934670000.0,-0.00472064535405
sh000040,2019-05-15,2839.85,2844.95,2819.27,2862.73,621659600.0,7924600000.0,0.0167326035602
sh000040,2019-05-14,2741.08,2798.13,2740.68,2833.11,649995400.0,8286680000.0,-0.00613058936773
sh000040,2019-05-13,2816.05,2815.39,2797.41,2847.48,546940900.0,6924020000.0,-0.0273580277622
sh000040,2019-05-10,2805.14,2894.58,2713.38,2899.51,805450500.0,9770860000.0,0.0463194574977
sh000040,2019-05-09,2764.71,2766.44,2761.43,2819.3,490217900.0,5735870000.0,-0.0125816917646
sh000040,2019-05-08,2750.07,2801.69,2729.37,2851.67,592932200.0,6876150000.0,-0.0083425950178
sh000040,2019-05-07,2823.67,2825.26,2755.39,2856.23,644444700.0,7427750000.0,0.00568829023807
sh000040,2019-05-06,2972.32,2809.28,2804.26,2972.32,858049500.0,9643320000.0,-0.0981299860351
sh000040,2019-04-30,3095.28,3114.95,3091.75,3154.68,648460300.0,7997210000.0,-0.0112964761596
sh000040,2019-04-29,3322.04,3150.54,3136.55,3332.64,828866700.0,10772260000.0,-0.0516134858519
sh000040,2019-04-26,3311.18,3322.0,3307.32,3395.58,757023200.0,9960300000.0,-0.00625502930082
sh000040,2019-04-25,3461.43,3342.91,3340.84,3483.63,960596000.0,13025210000.0,-0.0391976523946
sh000040,2019-04-24,3444.99,3479.29,3399.46,3490.9,835441200.0,11610270000.0,0.011803879373
sh000040,2019-04-23,3523.32,3438.7,3426.23,3525.38,1114904700.0,15854180000.0,-0.0292026853823
sh000040,2019-04-22,3577.41,3542.14,3527.1,3655.53,1711769300.0,24871810000.0,-0.00603315710902
sh000040,2019-04-19,3488.13,3563.64,3432.63,3580.42,1685453300.0,23814230000.0,0.00819310376045
sh000040,2019-04-18,3429.63,3534.68,3409.82,3567.59,1642072800.0,24157970000.0,0.0310570239279
sh000040,2019-04-17,3449.0,3428.21,3385.77,3464.23,1141976700.0,17232150000.0,-0.00126436614179
sh000040,2019-04-16,3247.88,3432.55,3227.08,3432.55,1220599600.0,17229520000.0,0.0503872529369
sh000040,2019-04-15,3320.63,3267.89,3264.57,3366.26,729605800.0,10283800000.0,-0.00107598864098
sh000040,2019-04-12,3279.25,3271.41,3251.64,3301.3,615933100.0,8421140000.0,-0.00283171274423
sh000040,2019-04-11,3380.2,3280.7,3277.72,3382.48,786329600.0,11156840000.0,-0.0278485663826
sh000040,2019-04-10,3328.06,3374.68,3299.15,3410.63,837230300.0,12597100000.0,0.00944028332815
sh000040,2019-04-09,3285.97,3343.12,3282.17,3370.97,693217900.0,10431310000.0,0.0171692493055
sh000040,2019-04-08,3368.93,3286.69,3253.65,3377.55,790304800.0,11107270000.0,-0.0212358546754
sh000040,2019-04-04,3378.5,3358.0,3344.26,3392.46,841687900.0,12389290000.0,-0.00569401550975
sh000040,2019-04-03,3329.38,3377.23,3311.6,3380.19,835386400.0,13553540000.0,0.00484386854907
