code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh600000,2019-06-13,11.570000,11.790000,11.500000,11.700000,0.008621,46966016.000000,548219997.000000,328814037606.599976,343419340644.900024,0.001671,157.904935,2018-09-30,2018-10-31,6.511052,1.564719,-0.875671,0.832552,11.700000
sh600004,2019-06-13,16.010000,16.130000,15.780000,15.940000,-0.009323,7840898.000000,124892409.000000,32984968977.220001,32984968993.160000,0.003789,40.841867,2018-09-30,2018-10-31,23.054672,3.247771,10.503426,2.099744,15.940000
sh600006,2019-06-13,4.910000,5.050000,4.890000,5.020000,0.020325,18706568.000000,93273172.000000,10040000000.000000,10040000000.000000,0.009353,17.859467,2018-09-30,2018-10-30,20.112179,0.594956,-21.145746,1.428449,5.020000
sh600007,2019-06-13,13.730000,13.960000,13.630000,13.890000,0.004338,1358800.000000,18751555.000000,13991154397.260000,13991154397.260000,0.001349,23.918001,2018-09-30,2018-10-31,18.609325,6.160036,10.870246,2.077382,13.890000
sh600008,2019-06-13,3.390000,3.410000,3.360000,3.390000,-0.002941,12716757.000000,43091227.000000,16341881876.969999,19273669421.730000,0.002638,25.922267,2018-09-30,2018-10-31,27.056230,1.183944,8.441491,1.304479,3.390000
sh600009,2019-06-13,73.990000,74.480000,72.650000,73.930000,-0.002698,5969759.000000,439511649.000000,80840709956.279999,142460038060.640015,0.005459,223.159553,2018-09-30,2018-10-30,34.499977,22.665226,31.305047,5.246165,73.930000
sh600010,2019-06-13,1.750000,1.770000,1.720000,1.760000,-0.011236,616966556.000000,1076302010.000000,55751892393.120003,80229657460.479996,0.019477,14.667336,2018-09-30,2018-10-31,27.160494,2.546856,9.591281,1.547253,1.760000
sh600011,2019-06-13,6.590000,6.680000,6.580000,6.650000,0.001506,14661184.000000,97530269.000000,69825000000.000000,104392320837.350006,0.001396,30.453072,2018-09-30,2018-10-24,159.090909,0.784164,3.369306,1.252590,6.650000
sh600012,2019-06-13,6.210000,6.270000,6.160000,6.260000,0.004815,2293000.000000,14258139.000000,7296656000.000000,10382898600.000000,0.001967,13.589101,2018-09-30,2018-10-30,9.294729,4.278072,5.644216,1.054174,6.260000
sh600015,2019-06-13,7.630000,7.650000,7.590000,7.620000,-0.001311,13304141.000000,101382302.000000,97708872288.240005,117250646750.460007,0.001038,32.728714,2018-09-30,2018-10-31,5.289830,1.391230,-1.029632,0.607171,7.620000
sh600016,2019-06-13,6.270000,6.300000,6.250000,6.280000,0.001595,54186965.000000,339999689.000000,222702133771.359985,274953588192.559998,0.001528,153.258109,2018-09-30,2018-10-31,5.160230,1.542135,-1.337793,0.684842,6.280000
sh600017,2019-06-13,3.030000,3.050000,3.010000,3.030000,0.000000,10045900.000000,30454488.000000,9319231280.639999,9319231280.639999,0.003266,9.908577,2018-09-30,2018-10-27,16.002099,2.142740,6.591744,0.841542,3.030000
sh600018,2019-06-13,6.610000,6.650000,6.460000,6.560000,-0.006061,32265426.000000,211085359.000000,152019305697.440002,152019305704.000000,0.001392,40.067476,2018-09-30,2018-10-31,12.792512,5.151304,27.470687,2.171682,6.560000
sh600019,2019-06-13,6.400000,6.440000,6.340000,6.390000,-0.001563,26916577.000000,171981431.000000,141225945444.359985,142344496739.250000,0.001218,15.874641,2018-09-30,2018-10-30,6.609407,0.692236,2.709758,0.897263,6.390000
sh600020,2019-06-13,5.390000,5.500000,5.370000,5.400000,0.000000,28055940.000000,152254643.000000,12135807887.400000,12135807892.799999,0.012484,21.561364,2018-09-30,2018-10-31,26.548673,2.317137,3.260476,1.039641,5.400000
sh600021,2019-06-13,8.360000,8.410000,8.230000,8.270000,-0.021302,4941210.000000,40894958.000000,17695643647.119999,21643947909.189999,0.002309,17.878841,2018-09-30,2018-10-30,16.925291,1.081168,3.757968,1.627611,8.270000
sh600022,2019-06-13,1.670000,1.690000,1.660000,1.680000,0.005988,62235145.000000,104175191.000000,18390203354.880001,18390203354.880001,0.005685,9.347362,2018-09-30,2018-10-30,5.624372,0.299874,8.633094,0.897148,1.680000
sh600023,2019-06-13,4.700000,4.720000,4.660000,4.680000,-0.008475,16606654.000000,77810490.000000,63651229139.160004,63651229143.839996,0.001221,7.289433,2018-09-30,2018-10-27,14.507130,1.603793,6.640182,1.031223,4.680000
sh600025,2019-06-13,4.120000,4.120000,4.070000,4.110000,-0.002427,14797704.000000,60642323.000000,36694080000.000000,73980000000.000000,0.001657,4.178046,2018-09-30,2018-10-30,25.623441,,7.418773,1.816253,4.110000
