index_code,date,open,close,low,high,volume,money,change
sh000001,2019-06-14,2913.000000,2881.970000,2879.660000,2924.320000,21543579600.000000,194303110000.000000,-0.009884
sh000002,2019-06-14,3051.030000,3018.470000,3016.050000,3062.860000,21526929500.000000,194170650000.000000,-0.009903
sh000003,2019-06-14,289.130000,288.170000,287.340000,291.450000,16650200.000000,132460000.000000,-0.001974
sh000004,2019-06-14,2264.250000,2238.030000,2236.070000,2275.630000,12809148000.000000,121087940000.000000,-0.011318
sh000005,2019-06-14,2661.470000,2618.130000,2615.470000,2669.310000,1358961600.000000,14380080000.000000,-0.016521
sh000006,2019-06-14,6836.240000,6779.790000,6765.680000,6873.270000,431099800.000000,3501390000.000000,-0.011051
sh000007,2019-06-14,5078.420000,5007.580000,4999.960000,5094.820000,1675433500.000000,10950480000.000000,-0.012911
sh000008,2019-06-14,2838.770000,2815.910000,2812.920000,2847.050000,5268936700.000000,44383220000.000000,-0.006292
sh000009,2019-06-14,4528.120000,4456.850000,4452.990000,4539.360000,4963804300.000000,44873830000.000000,-0.015433
sh000010,2019-06-14,8255.190000,8186.540000,8176.470000,8296.850000,6879498400.000000,76306710000.000000,-0.006801
sh000016,2019-06-14,2798.400000,2785.610000,2781.720000,2816.180000,2612483000.000000,35432680000.000000,-0.003196
sh000017,2019-06-14,2460.030000,2433.780000,2431.830000,2469.570000,21475805700.000000,194135610000.000000,-0.009902
sh000020,2019-06-14,1019.110000,1000.450000,999.580000,1021.320000,3006233500.000000,31307390000.000000,-0.018011
sh000032,2019-06-14,1326.990000,1310.780000,1307.710000,1326.990000,845228900.000000,4364130000.000000,-0.012848
sh000033,2019-06-14,1875.830000,1855.080000,1853.690000,1878.430000,2513686000.000000,19686270000.000000,-0.009610
sh000034,2019-06-14,2065.860000,2043.780000,2041.060000,2079.880000,1330163700.000000,10844280000.000000,-0.010319
sh000035,2019-06-14,2268.810000,2244.170000,2241.360000,2281.190000,746182600.000000,5779830000.000000,-0.010188
sh000036,2019-06-14,10328.390000,10244.820000,10219.360000,10427.160000,382998300.000000,10503380000.000000,-0.006875
sh000037,2019-06-14,5571.130000,5508.040000,5504.600000,5618.420000,437203200.000000,5919160000.000000,-0.010602
sh000038,2019-06-14,5330.800000,5296.550000,5288.710000,5349.570000,1618349000.000000,19737510000.000000,-0.004357
sh000039,2019-06-14,3103.150000,3020.480000,3018.330000,3121.970000,721081700.000000,11889710000.000000,-0.026434
sh000040,2019-06-14,2837.720000,2770.090000,2764.670000,2849.940000,483841500.000000,5787840000.000000,-0.023671
sh000041,2019-06-14,1987.760000,1964.730000,1959.910000,1995.490000,625864600.000000,3660700000.000000,-0.010162
sh000043,2019-06-14,2309.630000,2296.540000,2292.710000,2322.530000,1079273900.000000,19940240000.000000,-0.004573
sh000044,2019-06-14,3293.740000,3243.330000,3237.780000,3302.480000,4267015400.000000,40874030000.000000,-0.013532
sh000045,2019-06-14,3808.500000,3746.020000,3743.340000,3820.870000,6254882700.000000,48972120000.000000,-0.016054
sh000046,2019-06-14,3556.790000,3500.690000,3496.180000,3567.040000,10521898100.000000,89846150000.000000,-0.014606
sh000047,2019-06-14,3123.330000,3092.160000,3088.740000,3137.860000,13134381200.000000,125278830000.000000,-0.008707
sh000090,2019-06-14,1088.150000,1075.420000,1074.350000,1092.860000,21475805700.000000,194135610000.000000,-0.010744
sh000104,2019-06-14,1023.520000,1009.460000,1006.660000,1023.650000,198732800.000000,1234480000.000000,-0.015622
sh000105,2019-06-14,3682.720000,3626.160000,3617.940000,3683.940000,1403386100.000000,11634020000.000000,-0.015703
sh000106,2019-06-14,4319.020000,4271.430000,4267.980000,4347.940000,1354198000.000000,10297900000.000000,-0.011380
