code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh600000,2019-06-19,12.040000,12.070000,11.810000,11.880000,0.005076,44927745.000000,537339845.000000,333872715108.239990,348702715116.359985,0.001599,160.334241,2018-09-30,2018-10-31,6.611222,1.588791,-0.889143,0.845360,11.880000
sh600004,2019-06-19,16.480000,16.750000,16.230000,16.290000,0.006799,11859098.000000,195000124.000000,33709231156.770000,33709231173.060001,0.005731,41.738646,2018-09-30,2018-10-31,23.560891,3.319084,10.734054,2.145849,16.290000
sh600006,2019-06-19,4.980000,5.010000,4.910000,4.930000,0.010246,19242381.000000,95277729.000000,9860000000.000000,9860000000.000000,0.009621,17.539277,2018-09-30,2018-10-30,19.751603,0.584290,-20.766639,1.402840,4.930000
sh600007,2019-06-19,14.300000,14.380000,14.090000,14.130000,0.000708,1107400.000000,15728626.000000,14232902205.420000,14232902205.420000,0.001099,24.331271,2018-09-30,2018-10-31,18.930868,6.266473,11.058069,2.113276,14.130000
sh600008,2019-06-19,3.340000,3.380000,3.330000,3.360000,0.021277,18775586.000000,62952566.000000,16197263453.280001,19103105975.520000,0.003895,25.692866,2018-09-30,2018-10-31,26.816794,1.173467,8.366788,1.292935,3.360000
sh600009,2019-06-19,76.560000,77.000000,75.570000,76.550000,0.015656,6820157.000000,521007012.000000,83705618113.800003,147508669194.399994,0.006237,231.068089,2018-09-30,2018-10-30,35.722619,23.468457,32.414465,5.432083,76.550000
sh600010,2019-06-19,1.720000,1.730000,1.700000,1.710000,0.005882,338696410.000000,581124949.000000,54168031813.769997,77950405828.080002,0.010692,14.250650,2018-09-30,2018-10-31,26.388889,2.474502,9.318801,1.503297,1.710000
sh600011,2019-06-19,6.680000,6.790000,6.620000,6.650000,0.003017,15227445.000000,102102019.000000,69825000000.000000,104392320837.350006,0.001450,30.453072,2018-09-30,2018-10-24,159.090909,0.784164,3.369306,1.252590,6.650000
sh600012,2019-06-19,6.350000,6.370000,6.280000,6.300000,0.003185,2947923.000000,18652185.000000,7343280000.000000,10449243000.000000,0.002529,13.675933,2018-09-30,2018-10-30,9.354120,4.305408,5.680281,1.060910,6.300000
sh600015,2019-06-19,7.710000,7.720000,7.650000,7.660000,0.005249,23572456.000000,180846043.000000,98221779754.320007,117866135709.779999,0.001838,32.900519,2018-09-30,2018-10-31,5.317598,1.398533,-1.035037,0.610359,7.660000
sh600016,2019-06-19,6.370000,6.380000,6.320000,6.340000,0.004754,89138574.000000,566269848.000000,224829861164.079987,277580533302.679993,0.002514,154.722359,2018-09-30,2018-10-31,5.209532,1.556869,-1.350574,0.691385,6.340000
sh600017,2019-06-19,3.090000,3.340000,3.050000,3.340000,0.098684,105904176.000000,343274156.000000,10272683985.920000,10272683985.920000,0.034433,10.922326,2018-09-30,2018-10-27,17.639277,2.361964,7.266147,0.927640,3.340000
sh600018,2019-06-19,6.690000,6.860000,6.520000,6.730000,0.054859,82987232.000000,555823498.000000,155958830387.769989,155958830394.500000,0.003581,41.105810,2018-09-30,2018-10-31,13.124025,5.284798,28.182580,2.227960,6.730000
sh600019,2019-06-19,6.510000,6.550000,6.440000,6.460000,0.006231,28045791.000000,181914473.000000,142773021529.040009,143903826124.500000,0.001269,16.048541,2018-09-30,2018-10-30,6.681811,0.699819,2.739443,0.907093,6.460000
sh600020,2019-06-19,5.280000,5.330000,5.180000,5.190000,0.013672,41426701.000000,217780033.000000,11663859802.889999,11663859808.080000,0.018433,20.722867,2018-09-30,2018-10-31,25.516224,2.227026,3.133680,0.999211,5.190000
sh600021,2019-06-19,8.420000,8.540000,8.310000,8.320000,-0.001200,4683062.000000,39289454.000000,17802630609.919998,21774806119.040001,0.002189,17.986935,2018-09-30,2018-10-30,17.027621,1.087705,3.780689,1.637451,8.320000
sh600022,2019-06-19,1.680000,1.690000,1.660000,1.670000,0.006024,58433845.000000,97948251.000000,18280737858.720001,18280737858.720001,0.005338,9.291723,2018-09-30,2018-10-30,5.590894,0.298089,8.581706,0.891808,1.670000
sh600023,2019-06-19,4.410000,4.440000,4.380000,4.400000,0.009174,20452753.000000,90120936.000000,59843035942.800003,59843035947.199997,0.001504,7.134315,2018-09-30,2018-10-27,14.198419,1.569665,6.498879,1.009279,4.400000
sh600025,2019-06-19,4.110000,4.130000,4.050000,4.050000,0.002475,20187977.000000,82337370.000000,36158400000.000000,72900000000.000000,0.002261,4.117053,2018-09-30,2018-10-30,25.249377,,7.310469,1.789739,4.050000
sh600026,2019-06-19,6.320000,6.370000,6.080000,6.180000,0.021488,14696389.000000,91092235.000000,16908683080.980000,24917963080.980000,0.005371,10.480079,2018-09-30,2018-10-31,99.356913,1.950292,11.300055,0.892329,6.180000
sh600027,2019-06-19,3.820000,3.830000,3.780000,3.790000,0.002646,23729807.000000,90238303.000000,26513866170.869999,37380681514.870003,0.003392,6.478344,2018-09-30,2018-10-31,16.987898,0.526380,2.223396,0.775511,3.790000
sh600028,2019-06-19,5.320000,5.330000,5.270000,5.290000,0.005703,109152602.000000,578513189.000000,505500608828.049988,640466699027.339966,0.001142,16.033819,2018-09-30,2018-10-31,9.249279,0.332859,3.087380,0.930338,5.290000
sh600029,2019-06-19,7.380000,7.550000,7.280000,7.350000,0.030856,71954148.000000,530960845.000000,51616477500.000000,90163716302.100006,0.010246,12.410685,2018-09-30,2018-10-31,24.410495,0.647387,4.171396,1.361943,7.350000
sh600030,2019-06-19,22.500000,22.800000,21.500000,21.550000,0.033573,256773065.000000,5646250061.000000,211505959635.000000,261119376020.000000,0.026162,118.625386,2018-09-30,2018-10-31,24.328291,7.273667,15.659061,1.708988,21.550000
sh600031,2019-06-19,13.280000,13.290000,12.850000,12.900000,0.001553,100363944.000000,1306935763.000000,107558864592.000000,108044899014.300003,0.012037,600.074436,2018-09-30,2018-10-30,19.242243,4.443290,9.648467,3.318328,12.900000
sh600033,2019-06-19,3.330000,3.350000,3.320000,3.330000,0.009091,5544300.000000,18443587.000000,9138852000.000000,9138852000.000000,0.002020,22.855677,2018-09-30,2018-10-31,13.575214,3.545276,4.979812,1.019003,3.330000
sh600035,2019-06-19,3.420000,3.460000,3.390000,3.400000,0.005917,14979361.000000,51269459.000000,5190790716.800000,5875495188.000000,0.009812,9.897782,2018-09-30,2018-10-30,10.298184,4.146020,9.724795,0.967628,3.400000
sh600036,2019-06-19,36.990000,37.300000,36.570000,36.800000,0.021655,65238879.000000,2411603687.000000,759145154950.400024,928090318116.800049,0.003162,175.613964,2018-09-30,2018-10-31,11.839269,4.868572,75.378943,1.888148,36.800000
sh600037,2019-06-19,10.580000,10.670000,10.440000,10.480000,0.012560,9011146.000000,95038173.000000,14585832213.840000,14585832224.320000,0.006475,54.129714,2018-09-30,2018-10-30,21.742739,5.679690,14.050141,1.128824,10.480000
sh600038,2019-06-19,39.400000,40.230000,39.300000,39.390000,0.011037,3350476.000000,132953991.000000,23219487843.240002,23219487843.240002,0.005684,116.045160,2018-09-30,2018-10-26,48.112862,1.865619,30.492336,3.121335,39.390000
sh600039,2019-06-19,3.760000,3.870000,3.710000,3.750000,0.002674,51101634.000000,192952027.000000,12964023090.000000,13539470662.500000,0.014782,28.693267,2018-09-30,2018-10-31,10.324890,0.368007,10.259918,1.022690,3.750000
sh600048,2019-06-19,13.020000,13.090000,12.790000,12.840000,0.003125,50201204.000000,648069160.000000,151164408051.839996,152732173618.320007,0.004264,266.782037,2018-09-30,2018-10-30,9.330002,1.164931,-16.890439,1.409763,12.840000
sh600050,2019-06-19,6.200000,6.250000,6.080000,6.100000,0.004942,157002902.000000,966454375.000000,129299238009.500000,189349902890.700012,0.007407,9.544324,2018-09-30,2018-10-23,85.674157,0.473476,3.102116,1.358696,6.100000
sh600051,2019-06-19,6.130000,6.210000,6.110000,6.120000,0.013245,2217249.000000,13618700.000000,1902585600.000000,1902585600.000000,0.007132,27.873152,2018-09-30,2018-10-23,4.215931,0.527003,3.802008,0.838899,6.120000
sh600052,2019-06-19,3.100000,3.140000,3.070000,3.070000,0.000000,2097440.000000,6492849.000000,2676392509.370000,2676392512.440000,0.002406,11.476720,2018-09-30,2018-10-30,10.438626,2.394313,14.332400,1.104118,3.070000
sh600053,2019-06-19,23.950000,24.250000,23.430000,23.440000,0.007739,3265504.000000,77831484.000000,10162196352.000000,10162196352.000000,0.007532,51.264964,2018-09-30,2018-10-27,28.429351,9.042997,6.511835,4.979288,23.440000
sh600054,2019-06-19,9.320000,9.360000,9.260000,9.320000,0.013043,3863403.000000,35987643.000000,4783956000.000000,6964836000.000000,0.007527,40.246044,2018-09-30,2018-10-27,14.222494,2.789356,12.621885,1.674693,9.320000
sh600055,2019-06-19,10.100000,10.210000,9.690000,9.750000,-0.004086,7943949.000000,79084653.000000,5272957930.500000,5272957940.250000,0.014689,141.915174,2018-09-30,2018-10-27,39.668109,2.605594,-133.825970,2.795162,9.750000
sh600056,2019-06-19,13.330000,13.470000,13.310000,13.340000,0.016768,7135091.000000,95400230.000000,13501895093.760000,14253597023.559999,0.007050,123.509600,2018-09-30,2018-10-27,9.484987,0.677759,-37.859104,1.752964,13.340000
sh600057,2019-06-19,4.460000,4.500000,4.430000,4.430000,0.009112,8219376.000000,36727776.000000,9557521592.120001,9557521596.549999,0.003810,41.179354,2018-09-30,2018-10-31,10.645743,0.089125,2.754254,0.821239,4.430000
sh600058,2019-06-19,8.830000,8.980000,8.640000,8.750000,0.008065,8788409.000000,77652208.000000,9379218721.250000,9379218721.250000,0.008199,41.828673,2018-09-30,2018-10-30,-23.483629,0.151313,-9.342302,1.327205,8.750000
sh600059,2019-06-19,8.450000,8.530000,8.300000,8.320000,0.001203,6595252.000000,55357701.000000,6726921052.800000,6726921052.800000,0.008157,68.215358,2018-09-30,2018-10-27,39.455599,4.942965,22.159994,1.695134,8.320000
sh600060,2019-06-19,8.770000,8.840000,8.560000,8.580000,-0.003484,12247537.000000,106482275.000000,11226768876.180000,11226768884.760000,0.009360,49.171370,2018-09-30,2018-10-31,15.894776,0.373681,6.653742,0.807241,8.580000
sh600061,2019-06-19,15.210000,15.500000,14.120000,14.140000,-0.009110,32953684.000000,483114927.000000,59017983433.639999,59771614339.779999,0.007895,82.833187,2018-09-30,2018-10-31,33.803490,4.361906,-4.026999,1.630272,14.140000
sh600062,2019-06-19,12.820000,12.980000,12.630000,12.650000,-0.003937,11005921.000000,140299943.000000,10414013387.250000,13196957018.850000,0.013369,95.257630,2018-09-30,2018-10-29,13.394748,1.783544,7.990651,1.711171,12.650000
sh600063,2019-06-19,2.820000,2.850000,2.780000,2.800000,0.014493,14676034.000000,41323631.000000,5392505134.800000,5392505137.600000,0.007620,37.404483,2018-09-30,2018-10-26,43.724288,1.332067,42.473142,1.177003,2.800000
sh600064,2019-06-19,10.760000,10.860000,10.600000,10.600000,0.012416,15153451.000000,162398299.000000,13101143012.799999,13101143012.799999,0.012261,171.643335,2018-09-30,2018-10-26,9.075342,2.114211,-34.437947,1.279560,10.600000
sh600066,2019-06-19,12.850000,13.000000,12.820000,12.830000,0.011032,7746941.000000,100065192.000000,28404840231.090000,28404840231.090000,0.003499,532.920118,2018-09-30,2018-10-29,12.207649,0.944489,30.771627,1.890701,12.830000
