code.string(),date.date(2006-01-02),open.double(),high.double(),low.double(),close.double(),change.double(),volume.double(),money.double(),traded_market_value.double(),market_value.double(),turnover.double(),adjust_price.double(),report_type.string(),report_date.date(2006-01-02),PE_TTM.double(),PS_TTM.double(),PC_TTM.double(),PB.double(),adjust_price_f.double()
sz002331,2019-06-10,9.700000,9.790000,9.540000,9.650000,-0.003099,2438930.000000,23618944.000000,2994564164.500000,3977107275.850000,0.007859,51.648288,2018-09-30,2018-10-30,39.646672,3.193985,49.716641,2.078308,9.650000
sz002331,2019-06-06,9.860000,10.100000,9.650000,9.680000,-0.041584,5162793.000000,50613547.420000,3003873690.400000,3989471339.920000,0.016637,51.808853,2018-09-30,2018-10-30,39.769926,3.203915,49.871200,2.084769,9.680000
sz002331,2019-06-05,10.040000,10.700000,10.020000,10.100000,0.038027,8166312.000000,84508601.940000,3134207053.000000,4162568236.900000,0.026316,54.056758,2018-09-30,2018-10-30,41.495481,3.342927,52.035033,2.175224,10.100000
sz002331,2019-06-04,9.680000,9.910000,9.650000,9.730000,0.005165,1216209.000000,11871373.600000,3019389566.900000,4010078113.370000,0.003919,52.076461,2018-09-30,2018-10-30,39.975349,3.220464,50.128800,2.095538,9.730000
sz002331,2019-06-03,9.930000,9.990000,9.660000,9.680000,-0.024194,1443301.000000,14068254.400000,3003873690.400000,3989471339.920000,0.004651,51.808853,2018-09-30,2018-10-30,39.769926,3.203915,49.871200,2.084769,9.680000
sz002331,2019-05-31,9.920000,10.080000,9.850000,9.920000,-0.004016,1172840.000000,11654273.200000,3078349897.600000,4088383852.480000,0.003779,53.093370,2018-09-30,2018-10-30,40.755957,3.283351,51.107676,2.136458,9.920000
sz002331,2019-05-30,10.050000,10.080000,9.900000,9.960000,-0.016782,1604788.000000,15974140.470000,3090762598.800000,4104869271.240000,0.005171,53.307456,2018-09-30,2018-10-30,40.920296,3.296590,51.313756,2.145072,9.960000
sz002331,2019-05-29,10.070000,10.350000,10.070000,10.130000,-0.002953,2317606.000000,23635831.920000,3143516578.900000,4174932300.970000,0.007468,54.217322,2018-09-30,2018-10-30,41.618735,3.352857,52.189593,2.181685,10.130000
sz002331,2019-05-28,10.050000,10.230000,10.010000,10.160000,0.010945,2647948.000000,26862195.500000,3152826104.800000,4187296365.040000,0.008533,54.377887,2018-09-30,2018-10-30,41.741988,3.362786,52.344152,2.188146,10.160000
sz002331,2019-05-27,9.840000,10.080000,9.750000,10.050000,0.017206,1994363.000000,19899485.250000,3118691176.500000,4141961463.450000,0.006427,53.789150,2018-09-30,2018-10-30,41.290058,3.326378,51.777434,2.164456,10.050000
sz002331,2019-05-24,9.760000,9.900000,9.610000,9.880000,0.014374,2776460.000000,27016803.580000,3065937196.400000,4071898433.720000,0.008947,52.879284,2018-09-30,2018-10-30,40.591619,3.270111,50.901597,2.127843,9.880000
sz002331,2019-05-23,10.120000,10.120000,9.580000,9.740000,-0.025025,2291713.000000,22277530.850000,3022492742.200000,4014199468.060000,0.007385,52.129982,2018-09-30,2018-10-30,40.016434,3.223774,50.180319,2.097691,9.740000
sz002331,2019-05-22,10.080000,10.170000,9.960000,9.990000,0.001002,1920613.000000,19367994.620000,3100072124.700000,4117233335.310000,0.006189,53.468021,2018-09-30,2018-10-30,41.043550,3.306519,51.468315,2.151533,9.990000
sz002331,2019-05-21,9.950000,10.100000,9.740000,9.980000,0.003015,1410480.000000,14062008.800000,3096968949.400000,4113111980.620000,0.004545,53.414499,2018-09-30,2018-10-30,41.002465,3.303209,51.416795,2.149380,9.980000
sz002331,2019-05-20,9.800000,9.980000,9.620000,9.950000,-0.001004,2437429.000000,23808347.330000,3087659423.500000,4100747916.550000,0.007855,53.253934,2018-09-30,2018-10-30,40.879211,3.293280,51.262236,2.142919,9.950000
sz002331,2019-05-17,10.200000,10.340000,9.940000,9.960000,-0.010924,3191702.000000,32322739.450000,3090762598.800000,4104869271.240000,0.010285,53.307456,2018-09-30,2018-10-30,40.920296,3.296590,51.313756,2.145072,9.960000
sz002331,2019-05-16,10.140000,10.150000,9.990000,10.070000,0.000000,1687420.000000,16980740.970000,3124897527.100000,4150204172.830000,0.005438,53.896193,2018-09-30,2018-10-30,41.372227,3.332998,51.880474,2.168763,10.070000
sz002331,2019-05-15,9.990000,10.150000,9.990000,10.070000,0.008008,1291620.000000,13001816.800000,3124897527.100000,4150204172.830000,0.004162,53.896193,2018-09-30,2018-10-30,41.372227,3.332998,51.880474,2.168763,10.070000
sz002331,2019-05-14,9.840000,10.120000,9.760000,9.990000,-0.001000,1157950.000000,11587150.200000,3100072124.700000,4117233335.310000,0.003732,53.468021,2018-09-30,2018-10-30,41.043550,3.306519,51.468315,2.151533,9.990000
sz002331,2019-05-13,10.050000,10.170000,9.990000,10.000000,-0.021526,1659730.000000,16702781.000000,3103175300.000000,4121354690.000000,0.005348,53.521542,2018-09-30,2018-10-30,41.084634,3.309829,51.519835,2.153687,10.000000
sz002331,2019-05-10,9.910000,10.360000,9.860000,10.220000,0.028169,2672246.000000,27115994.060000,3171445156.600000,4212024493.180000,0.008611,54.699016,2018-09-30,2018-10-30,41.988496,3.382645,52.653272,2.201068,10.220000
sz002331,2019-05-09,10.040000,10.280000,9.920000,9.940000,-0.009960,2516112.000000,25277982.840000,3084556248.200000,4096626561.860000,0.008108,53.200413,2018-09-30,2018-10-30,40.838127,3.289970,51.210716,2.140765,9.940000
sz002331,2019-05-08,9.510000,10.460000,9.500000,10.040000,0.028689,3516980.000000,35803159.000000,3115588001.200000,4137840108.760000,0.011333,53.735628,2018-09-30,2018-10-30,41.248973,3.323068,51.725914,2.162302,10.040000
sz002331,2019-05-07,9.650000,9.860000,9.630000,9.760000,0.006186,2084898.000000,20309085.430000,3028699092.800000,4022442177.440000,0.006719,52.237025,2018-09-30,2018-10-30,40.098603,3.230393,50.283359,2.101999,9.760000
sz002331,2019-05-06,10.000000,10.650000,9.700000,9.700000,-0.100186,4619710.000000,45639721.660000,3010080041.000000,3997714049.300000,0.014887,51.915896,2018-09-30,2018-10-30,39.852095,3.210534,49.974240,2.089076,9.700000
sz002331,2019-04-30,10.830000,10.880000,10.610000,10.780000,-0.006452,2323217.000000,24931469.450000,3345222973.400000,4442820355.820000,0.007487,57.696223,2018-09-30,2018-10-30,44.289236,3.567996,55.538382,2.321675,10.780000
sz002331,2019-04-29,10.850000,11.200000,10.810000,10.850000,0.004630,3346560.000000,36645139.580000,3366945200.500000,4471669838.650000,0.010784,58.070873,2018-09-30,2018-10-30,44.576828,3.591165,55.899021,2.336751,10.850000
sz002331,2019-04-26,10.740000,11.080000,10.700000,10.800000,0.002786,3060721.000000,33249253.770000,3351429324.000000,4451063065.200000,0.009863,57.803266,2018-09-30,2018-10-30,44.371405,3.574615,55.641422,2.325982,10.800000
sz002331,2019-04-25,11.170000,11.210000,10.700000,10.770000,-0.034946,2519373.000000,27669596.790000,3342119798.100000,4438699001.130000,0.008119,57.642701,2018-09-30,2018-10-30,44.248151,3.564686,55.486862,2.319521,10.770000
sz002331,2019-04-24,11.170000,11.280000,11.020000,11.160000,-0.001789,2016500.000000,22434329.280000,3463143634.800000,4599431834.040000,0.006498,59.730041,2018-09-30,2018-10-30,45.850452,3.693769,57.496136,2.403515,11.160000
sz002331,2019-04-23,11.430000,11.480000,11.110000,11.180000,-0.001786,1953680.000000,21955606.000000,3469349985.400000,4607674543.420000,0.006296,59.837084,2018-09-30,2018-10-30,45.932621,3.700389,57.599176,2.407822,11.180000
sz002331,2019-04-22,11.320000,11.320000,11.110000,11.200000,-0.010601,2378180.000000,26628101.330000,3475556336.000000,4615917252.800000,0.007664,59.944127,2018-09-30,2018-10-30,46.014790,3.707009,57.702215,2.412130,11.200000
sz002331,2019-04-19,11.080000,11.440000,11.030000,11.320000,0.017071,3249238.000000,36640800.650000,3512794439.600000,4665373509.080000,0.010471,60.586386,2018-09-30,2018-10-30,46.507806,3.746727,58.320453,2.437974,11.320000
sz002331,2019-04-18,11.290000,11.290000,11.100000,11.130000,-0.014172,2041313.000000,22791905.060000,3453834108.900000,4587067769.970000,0.006578,59.569476,2018-09-30,2018-10-30,45.727198,3.683840,57.341577,2.397054,11.130000
sz002331,2019-04-17,11.450000,11.480000,11.250000,11.290000,0.000000,2822773.000000,32025665.970000,3503484913.700000,4653009445.010000,0.009096,60.425821,2018-09-30,2018-10-30,46.384552,3.736797,58.165894,2.431513,11.290000
sz002331,2019-04-16,11.110000,11.290000,10.910000,11.290000,0.014376,3069954.000000,34070294.440000,3503484913.700000,4653009445.010000,0.009893,60.425821,2018-09-30,2018-10-30,46.384552,3.736797,58.165894,2.431513,11.290000
sz002331,2019-04-15,11.250000,11.420000,11.130000,11.130000,0.009982,3712786.000000,41821092.340000,3453834108.900000,4587067769.970000,0.011964,59.569476,2018-09-30,2018-10-30,45.727198,3.683840,57.341577,2.397054,11.130000
sz002331,2019-04-12,11.020000,11.100000,10.850000,11.020000,0.000908,2996781.000000,32917409.940000,3419699180.600000,4541732868.380000,0.009657,58.980740,2018-09-30,2018-10-30,45.275267,3.647432,56.774858,2.373363,11.020000
sz002331,2019-04-11,11.210000,11.210000,10.990000,11.010000,-0.017841,3341752.000000,37014854.680000,3416596005.300000,4537611513.690000,0.010769,58.927218,2018-09-30,2018-10-30,45.234182,3.644122,56.723338,2.371210,11.010000
sz002331,2019-04-10,11.400000,11.400000,11.100000,11.210000,-0.017528,3611924.000000,40441711.120000,3478659511.300000,4620038607.490000,0.011639,59.997649,2018-09-30,2018-10-30,46.055875,3.710318,57.753735,2.414283,11.210000
sz002331,2019-04-09,11.220000,11.620000,11.200000,11.410000,0.016934,4031140.000000,45989433.340000,3540723017.300000,4702465701.290000,0.012990,61.068080,2018-09-30,2018-10-30,46.877568,3.776515,58.784132,2.457357,11.410000
sz002331,2019-04-08,11.710000,11.780000,11.000000,11.220000,-0.037736,8055241.000000,91263610.850000,3481762686.600000,4624159962.180000,0.025958,60.051170,2018-09-30,2018-10-30,46.096960,3.713628,57.805255,2.416437,11.220000
sz002331,2019-04-04,11.800000,12.050000,11.610000,11.660000,-0.023451,6469713.000000,76057459.900000,3618302399.800000,4805499568.540000,0.020849,62.406118,2018-09-30,2018-10-30,47.904684,3.859261,60.072128,2.511199,11.660000
sz002331,2019-04-03,11.880000,11.990000,11.650000,11.940000,-0.005000,6123817.000000,72455208.590000,3705191308.200000,4920897499.860000,0.019734,63.904721,2018-09-30,2018-10-30,49.055053,3.951936,61.514683,2.571502,11.940000
sz002331,2019-04-02,12.280000,12.290000,11.960000,12.000000,-0.018806,7626406.000000,92085144.100000,3723810360.000000,4945625628.000000,0.024576,64.225851,2018-09-30,2018-10-30,49.301561,3.971795,61.823802,2.584425,12.000000
sz002331,2019-04-01,11.820000,12.250000,11.760000,12.230000,0.034687,7732405.000000,93869207.400000,3795183391.900000,5040416785.870000,0.024918,65.456846,2018-09-30,2018-10-30,50.246508,4.047921,63.008758,2.633959,12.230000
sz002331,2019-03-29,11.790000,11.850000,11.420000,11.820000,0.017212,5345395.000000,62558710.420000,3667953204.600000,4871441243.580000,0.017226,63.262463,2018-09-30,2018-10-30,48.562038,3.912218,60.896445,2.545658,11.820000
sz002331,2019-03-28,11.740000,12.200000,11.580000,11.620000,-0.009378,5005120.000000,59328458.200000,3605889698.600000,4789014149.780000,0.016129,62.192032,2018-09-30,2018-10-30,47.740345,3.846021,59.866048,2.502584,11.620000
sz002331,2019-03-27,11.960000,12.070000,11.530000,11.730000,-0.003398,5337388.000000,62842752.430000,3640024626.900000,4834349051.370000,0.017200,62.780769,2018-09-30,2018-10-30,48.192276,3.882430,60.432767,2.526275,11.730000
sz002331,2019-03-26,12.420000,12.450000,11.720000,11.770000,-0.040750,6715021.000000,80565490.870000,3652437328.100000,4850834470.130000,0.021639,62.994855,2018-09-30,2018-10-30,48.356615,3.895669,60.638846,2.534890,11.770000
sz002331,2019-03-25,12.660000,12.800000,12.250000,12.270000,-0.053971,8642217.000000,107967098.730000,3807596093.100000,5056902204.630000,0.027850,65.670932,2018-09-30,2018-10-30,50.410846,4.061160,63.214838,2.642574,12.270000
sz002331,2019-03-22,12.800000,13.100000,12.620000,12.970000,0.033466,10015378.000000,128824827.410000,4024818364.100000,5345397032.930000,0.032275,69.417440,2018-09-30,2018-10-30,53.286771,4.292848,66.821226,2.793332,12.970000
sz002331,2019-03-21,11.980000,12.690000,11.930000,12.550000,0.047579,10445859.000000,130054598.560000,3894485001.500000,5172300135.950000,0.033662,67.169535,2018-09-30,2018-10-30,51.561216,4.153836,64.657393,2.702877,12.550000
sz002331,2019-03-20,11.980000,12.280000,11.650000,11.980000,0.000000,7959647.000000,94958895.680000,3717604009.400000,4937382918.620000,0.025650,64.118808,2018-09-30,2018-10-30,49.219392,3.965175,61.720762,2.580117,11.980000
sz002331,2019-03-19,11.370000,12.150000,11.350000,11.980000,0.053650,10037347.000000,118968415.110000,3717604009.400000,4937382918.620000,0.032345,64.118808,2018-09-30,2018-10-30,49.219392,3.965175,61.720762,2.580117,11.980000
sz002331,2019-03-18,10.820000,11.410000,10.820000,11.370000,0.041209,6378687.000000,71344454.200000,3528310316.100000,4685980282.530000,0.020555,60.853993,2018-09-30,2018-10-30,46.713229,3.763276,58.578053,2.448742,11.370000
sz002331,2019-03-15,11.160000,11.250000,10.910000,10.920000,-0.017986,6997449.000000,77340361.850000,3388667427.600000,4500519321.480000,0.022549,58.445524,2018-09-30,2018-10-30,44.864421,3.614333,56.259660,2.351826,10.920000
sz002331,2019-03-14,11.600000,11.950000,11.120000,11.120000,-0.100324,18357165.000000,207842784.940000,3450730933.600000,4582946415.280000,0.059156,59.515955,2018-09-30,2018-10-30,45.686113,3.680530,57.290057,2.394900,11.120000
sz002331,2019-03-13,11.700000,12.740000,11.600000,12.360000,0.067358,22512720.000000,281426205.830000,3835524670.800000,5093994396.840000,0.072547,66.152626,2018-09-30,2018-10-30,50.780608,4.090949,63.678516,2.661957,12.360000
sz002331,2019-03-12,11.730000,11.790000,11.260000,11.580000,0.008711,12902732.000000,148710619.240000,3593476997.400000,4772528731.020000,0.041579,61.977946,2018-09-30,2018-10-30,47.576007,3.832782,59.659969,2.493970,11.580000
sz002331,2019-03-11,10.850000,11.480000,10.850000,11.480000,0.058065,9573796.000000,107219567.150000,3562445244.400000,4731315184.120000,0.030852,61.442730,2018-09-30,2018-10-30,47.165160,3.799684,59.144771,2.472433,11.480000
sz002331,2019-03-08,10.970000,11.480000,10.590000,10.850000,-0.020758,10582309.000000,117581161.710000,3366945200.500000,4471669838.650000,0.034102,58.070873,2018-09-30,2018-10-30,44.576828,3.591165,55.899021,2.336751,10.850000
sz002331,2019-03-07,11.070000,11.750000,11.000000,11.080000,0.034547,14151519.000000,159624959.140000,3438318232.400000,4566460996.520000,0.045603,59.301869,2018-09-30,2018-10-30,45.521775,3.667291,57.083977,2.386285,11.080000
sz002331,2019-03-06,10.600000,10.900000,10.520000,10.710000,0.015166,6222358.000000,66552410.210000,3323500746.300000,4413970872.990000,0.020052,57.321572,2018-09-30,2018-10-30,44.001643,3.544827,55.177743,2.306599,10.710000
sz002331,2019-03-05,10.290000,10.620000,10.290000,10.550000,0.025267,5242428.000000,54874696.000000,3273849941.500000,4348029197.950000,0.016894,56.465227,2018-09-30,2018-10-30,43.344289,3.491870,54.353426,2.272140,10.550000
sz002331,2019-03-04,10.290000,10.780000,10.180000,10.290000,0.000000,5349162.000000,55864964.700000,3193167383.700000,4240873976.010000,0.017238,55.073667,2018-09-30,2018-10-30,42.276089,3.405814,53.013910,2.216144,10.290000
sz002331,2019-03-01,10.270000,10.570000,10.190000,10.290000,0.012795,3780678.000000,39115732.300000,3193167383.700000,4240873976.010000,0.012183,55.073667,2018-09-30,2018-10-30,42.276089,3.405814,53.013910,2.216144,10.290000
sz002331,2019-02-28,10.030000,10.350000,10.030000,10.160000,-0.002944,2795735.000000,28545795.120000,3152826104.800000,4187296365.040000,0.009009,54.377887,2018-09-30,2018-10-30,41.741988,3.362786,52.344152,2.188146,10.160000
sz002331,2019-02-27,10.250000,10.590000,10.000000,10.190000,-0.039585,6900324.000000,70906031.620000,3162135630.700000,4199660429.110000,0.022236,54.538452,2018-09-30,2018-10-30,41.865242,3.372716,52.498712,2.194607,10.190000
sz002331,2019-02-26,10.210000,10.830000,10.040000,10.610000,0.039177,8143265.000000,85335130.880000,3292468993.300000,4372757326.090000,0.026242,56.786356,2018-09-30,2018-10-30,43.590797,3.511729,54.662545,2.285062,10.610000
sz002331,2019-02-25,9.870000,10.360000,9.750000,10.210000,0.050412,5781301.000000,58300500.910000,3168341981.300000,4207903138.490000,0.018630,54.645495,2018-09-30,2018-10-30,41.947412,3.379336,52.601752,2.198915,10.210000
sz002331,2019-02-22,9.700000,9.840000,9.560000,9.720000,0.005171,2976820.000000,28817491.200000,3016286391.600000,4005956758.680000,0.009593,52.022939,2018-09-30,2018-10-30,39.934265,3.217154,50.077280,2.093384,9.720000
sz002331,2019-02-21,9.570000,9.810000,9.460000,9.670000,0.010449,4769843.000000,46290579.180000,3000770515.100000,3985349985.230000,0.015371,51.755331,2018-09-30,2018-10-30,39.728841,3.200605,49.819681,2.082615,9.670000
sz002331,2019-02-20,9.450000,9.590000,9.340000,9.570000,0.012698,2712696.000000,25798031.310000,2969738762.100000,3944136438.330000,0.008742,51.220116,2018-09-30,2018-10-30,39.317995,3.167506,49.304482,2.061079,9.570000
sz002331,2019-02-19,9.380000,9.470000,9.310000,9.450000,0.009615,3409784.000000,32069608.080000,2932500658.500000,3894680182.050000,0.010988,50.577857,2018-09-30,2018-10-30,38.824979,3.127789,48.686244,2.035234,9.450000
sz002331,2019-02-18,9.210000,9.390000,9.210000,9.360000,0.018498,2476944.000000,23113261.310000,2904572080.800000,3857587989.840000,0.007982,50.096164,2018-09-30,2018-10-30,38.455218,3.098000,48.222566,2.015851,9.360000
sz002331,2019-02-15,9.150000,9.230000,9.130000,9.190000,0.003275,2286445.000000,20998111.750000,2851818100.700000,3787524960.110000,0.007368,49.186297,2018-09-30,2018-10-30,37.756779,3.041733,47.346728,1.979238,9.190000
sz002331,2019-02-14,9.150000,9.230000,9.090000,9.160000,0.003286,1994520.000000,18307049.400000,2842508574.800000,3775160896.040000,0.006427,49.025733,2018-09-30,2018-10-30,37.633525,3.031803,47.192169,1.972777,9.160000
sz002331,2019-02-13,8.890000,9.200000,8.890000,9.130000,0.026997,2877922.000000,26191377.290000,2768702263.800000,3762796831.970000,0.009490,48.865168,2018-09-30,2018-10-30,37.510271,3.021874,47.037609,1.966316,9.130000
sz002331,2019-02-12,8.740000,8.920000,8.720000,8.890000,0.017162,2107250.000000,18596448.700000,2695921481.400000,3663884319.410000,0.006949,47.580651,2018-09-30,2018-10-30,36.524240,2.942438,45.801133,1.914628,8.890000
sz002331,2019-02-11,8.450000,8.770000,8.350000,8.740000,0.030660,1385052.000000,12040494.960000,2650433492.400000,3602063999.060000,0.004567,46.777828,2018-09-30,2018-10-30,35.907970,2.892791,45.028336,1.882323,8.740000
sz002331,2019-02-01,8.310000,8.540000,8.310000,8.480000,0.029126,1489347.000000,12611787.610000,2571587644.800000,3494908777.120000,0.004911,45.386268,2018-09-30,2018-10-30,34.839770,2.806735,43.688820,1.826327,8.480000
sz002331,2019-01-31,8.750000,8.820000,8.200000,8.240000,-0.058286,2137980.000000,18197787.200000,2498806862.400000,3395996264.560000,0.007050,44.101751,2018-09-30,2018-10-30,33.853739,2.727299,42.452344,1.774638,8.240000
