code.string(),date.date(2006-01-02),open.double(),high.double(),low.double(),close.double(),change.double(),volume.double(),money.double(),traded_market_value.double(),market_value.double(),turnover.double(),adjust_price.double(),report_type.string(),report_date.date(2006-01-02),PE_TTM.double(),PS_TTM.double(),PC_TTM.double(),PB.double(),adjust_price_f.double()
sz002110,2019-06-10,8.330000,8.380000,8.060000,8.250000,-0.006024,18175354.000000,149320233.000000,5133785637.750000,13483669311.750000,0.029208,16.278248,2018-09-30,2018-10-26,3.264932,0.593967,4.121685,1.335594,8.250000
sz002110,2019-06-06,8.370000,8.410000,8.300000,8.300000,-0.005988,17271800.000000,144183254.470000,5164899490.100000,13565388519.700001,0.027756,16.376904,2018-09-30,2018-10-26,3.284720,0.597567,4.146665,1.343689,8.300000
sz002110,2019-06-05,8.380000,8.470000,8.300000,8.350000,0.013350,26814781.000000,224852987.760000,5196013342.450000,13647107727.650000,0.043091,16.475560,2018-09-30,2018-10-26,3.304507,0.601167,4.171645,1.351783,8.350000
sz002110,2019-06-04,8.520000,8.580000,8.180000,8.240000,-0.032864,28944018.000000,241290421.980000,5127562867.280000,13467325470.160000,0.046513,16.258517,2018-09-30,2018-10-26,3.260975,0.593247,4.116689,1.333975,8.240000
sz002110,2019-06-03,8.890000,8.940000,8.500000,8.520000,-0.043771,35129910.000000,303498879.140000,5301800440.440000,13924953034.680000,0.056454,16.810991,2018-09-30,2018-10-26,3.371785,0.613406,4.256576,1.379305,8.520000
sz002110,2019-05-31,9.010000,9.120000,8.870000,8.910000,-0.010000,22056620.000000,198262486.940000,5544488488.770000,14562362856.690001,0.035445,17.580508,2018-09-30,2018-10-26,3.526127,0.641485,4.451420,1.442442,8.910000
sz002110,2019-05-30,9.300000,9.300000,8.810000,9.000000,-0.035370,32529992.000000,293839264.810000,5600493423.000000,14709457431.000000,0.052276,17.758089,2018-09-30,2018-10-26,3.561744,0.647964,4.496383,1.457012,9.000000
sz002110,2019-05-29,9.360000,9.490000,9.230000,9.330000,-0.007447,17381160.000000,162423609.400000,5805844848.510000,15248804203.469999,0.027932,18.409218,2018-09-30,2018-10-26,3.692342,0.671723,4.661251,1.510436,9.330000
sz002110,2019-05-28,9.480000,9.690000,9.360000,9.400000,-0.005291,20969672.000000,199581850.290000,5849404241.800000,15363211094.600000,0.033698,18.547337,2018-09-30,2018-10-26,3.720044,0.676763,4.696223,1.521768,9.400000
sz002110,2019-05-27,9.380000,9.520000,9.210000,9.450000,0.008538,23288010.000000,218623952.680000,5880518094.150000,15444930302.549999,0.037424,18.645993,2018-09-30,2018-10-26,3.739832,0.680362,4.721203,1.529863,9.450000
sz002110,2019-05-24,9.290000,9.550000,9.250000,9.370000,-0.005308,19706289.000000,184784958.930000,5830735930.390000,15314179569.830000,0.031668,18.488143,2018-09-30,2018-10-26,3.708172,0.674603,4.681235,1.516911,9.370000
sz002110,2019-05-23,10.030000,10.040000,9.410000,9.420000,-0.058000,37233017.000000,359391305.440000,5861849782.740000,15395898777.780001,0.059834,18.586799,2018-09-30,2018-10-26,3.727959,0.678203,4.706215,1.525006,9.420000
sz002110,2019-05-22,10.000000,10.210000,9.770000,10.000000,-0.053926,50890858.000000,510415944.490000,6222770470.000000,16343841590.000000,0.081782,19.731210,2018-09-30,2018-10-26,3.957494,0.719960,4.995982,1.618902,10.000000
sz002110,2019-05-21,17.790000,18.120000,17.680000,17.850000,0.009615,35804126.000000,639983080.300000,11107645288.950001,29173757238.150002,0.057537,20.855888,2018-09-30,2018-10-26,4.183071,0.760998,5.280753,1.711180,10.570000
sz002110,2019-05-20,18.000000,18.050000,17.280000,17.680000,-0.017778,22983578.000000,404197017.320000,11001858190.959999,28895911931.119999,0.036935,20.657261,2018-09-30,2018-10-26,4.143232,0.753750,5.230460,1.694883,10.469333
sz002110,2019-05-17,18.250000,18.250000,17.870000,18.000000,-0.012617,25731087.000000,464531899.170000,11200986846.000000,29418914862.000000,0.041350,21.031148,2018-09-30,2018-10-26,4.218223,0.767393,5.325129,1.725559,10.658824
sz002110,2019-05-16,17.920000,18.450000,17.700000,18.230000,0.017867,29906177.000000,544560029.920000,11344110566.809999,29794823218.570000,0.048059,21.299879,2018-09-30,2018-10-26,4.272122,0.777198,5.393172,1.747608,10.795020
