code.string(),date.date(2006-01-02),open.double(),high.double(),low.double(),close.double(),change.double(),volume.double(),money.double(),traded_market_value.double(),market_value.double(),turnover.double(),adjust_price.double(),report_type.string(),report_date.date(2006-01-02),PE_TTM.double(),PS_TTM.double(),PC_TTM.double(),PB.double(),adjust_price_f.double()
sh603861,2019-06-10,9.880000,9.880000,9.410000,9.590000,-0.017418,901500.000000,8606124.000000,3923269000.000000,4245882814.320000,0.002204,9.818030,2018-09-30,2018-10-31,22.970355,,-41.303595,1.895786,9.590000
sh603861,2019-06-06,9.980000,10.050000,9.820000,9.870000,-0.011022,557500.000000,5501912.000000,4037817000.000000,4369850195.760000,0.001363,9.992072,2018-09-30,2018-10-31,23.377546,,-42.035775,1.929392,9.760000
sh603861,2019-06-05,9.910000,10.090000,9.910000,9.980000,0.010121,652400.000000,6539380.000000,4082818000.000000,4418551667.040000,0.001595,10.103433,2018-09-30,2018-10-31,23.638086,,-42.504259,1.950895,9.868774
sh603861,2019-06-04,10.140000,10.140000,9.810000,9.880000,-0.025641,922800.000000,9157141.000000,4041908000.000000,4374277602.240000,0.002256,10.002196,2018-09-30,2018-10-31,23.401232,,-42.078365,1.931347,9.769889
sh603861,2019-06-03,10.100000,10.230000,10.080000,10.140000,0.001976,728252.000000,7389997.000000,4148274000.000000,4489390170.720000,0.001780,10.265411,2018-09-30,2018-10-31,24.017054,,-43.185690,1.982172,10.026991
sh603861,2019-05-31,10.090000,10.480000,10.080000,10.120000,0.003968,651322.000000,6633217.000000,4140092000.000000,4480535357.760000,0.001592,10.245164,2018-09-30,2018-10-31,23.969683,,-43.100511,1.978263,10.007214
sh603861,2019-05-30,10.200000,10.230000,10.000000,10.080000,-0.011765,789613.000000,7937770.000000,4123728000.000000,4462825731.840000,0.001930,10.204669,2018-09-30,2018-10-31,23.874941,,-42.930153,1.970443,9.967660
sh603861,2019-05-29,10.100000,10.280000,10.080000,10.200000,0.009901,850200.000000,8661484.000000,4172820000.000000,4515954609.600000,0.002078,10.326154,2018-09-30,2018-10-31,24.159166,,-43.441227,1.993901,10.086322
sh603861,2019-05-28,10.120000,10.340000,10.090000,10.100000,-0.001976,941880.000000,9588062.000000,4131910000.000000,4471680544.800000,0.002302,10.224917,2018-09-30,2018-10-31,23.922312,,-43.015332,1.974353,9.987437
sh603861,2019-05-27,10.180000,10.180000,9.880000,10.120000,0.013013,775322.000000,7806539.000000,4140092000.000000,4480535357.760000,0.001895,10.245164,2018-09-30,2018-10-31,23.969683,,-43.100511,1.978263,10.007214
sh603861,2019-05-24,9.980000,10.120000,9.910000,9.990000,-0.001000,571126.000000,5722523.000000,4086909000.000000,4422979073.520000,0.001396,10.113556,2018-09-30,2018-10-31,23.661772,,-42.546848,1.952850,9.878663
sh603861,2019-05-23,10.190000,10.280000,9.930000,10.000000,-0.013807,871276.000000,8798133.000000,4091000000.000000,4427406480.000000,0.002130,10.123680,2018-09-30,2018-10-31,23.685457,,-42.589438,1.954805,9.888551
sh603861,2019-05-22,10.330000,10.420000,10.120000,10.140000,-0.012658,939100.000000,9630376.000000,4148274000.000000,4489390170.720000,0.002296,10.265411,2018-09-30,2018-10-31,24.017054,,-43.185690,1.982172,10.026991
sh603861,2019-05-21,10.030000,10.310000,9.950000,10.270000,0.022908,1029400.000000,10499522.000000,4201457000.000000,4546946454.960000,0.002516,10.397019,2018-09-30,2018-10-31,24.324964,,-43.739353,2.007585,10.155542
sh603861,2019-05-20,10.130000,10.130000,9.700000,10.040000,-0.008885,1316000.000000,13069639.000000,4107364000.000000,4445116105.920000,0.003217,10.164175,2018-09-30,2018-10-31,23.780199,,-42.759796,1.962624,9.928105
sh603861,2019-05-17,10.380000,10.540000,10.050000,10.130000,-0.047037,1359800.000000,13982058.000000,4144183000.000000,4484962764.240000,0.003324,10.255288,2018-09-30,2018-10-31,23.993368,,-43.143101,1.980217,10.017102
sh603861,2019-05-16,10.600000,10.680000,10.450000,10.630000,0.008539,799700.000000,8475700.000000,4348733000.000000,4706333088.240000,0.001955,10.761472,2018-09-30,2018-10-31,25.177641,,-45.272572,2.077958,10.511530
sh603861,2019-05-15,10.460000,10.590000,10.440000,10.540000,0.009579,865400.000000,9103891.000000,4311914000.000000,4666486429.920000,0.002115,10.670359,2018-09-30,2018-10-31,24.964472,,-44.889267,2.060364,10.422533
sh603861,2019-05-14,10.390000,10.540000,10.390000,10.440000,-0.004766,961700.000000,10058662.000000,4271004000.000000,4622212365.120000,0.002351,10.569122,2018-09-30,2018-10-31,24.727617,,-44.463373,2.040816,10.323647
sh603861,2019-05-13,10.330000,10.500000,10.000000,10.490000,0.012548,1025900.000000,10670990.000000,4291459000.000000,4644349397.520000,0.002508,10.619740,2018-09-30,2018-10-31,24.846045,,-44.676320,2.050590,10.373090
sh603861,2019-05-10,10.120000,10.490000,10.030000,10.360000,0.032901,1623500.000000,16731425.000000,4238276000.000000,4586793113.280000,0.003968,10.488132,2018-09-30,2018-10-31,24.538134,,-44.122658,2.025178,10.244539
sh603861,2019-05-09,10.110000,10.190000,10.010000,10.030000,-0.008893,818300.000000,8252506.000000,4103273000.000000,4440688699.440000,0.002000,10.154051,2018-09-30,2018-10-31,23.756514,,-42.717206,1.960669,9.918217
sh603861,2019-05-08,10.190000,10.290000,9.960000,10.120000,-0.010753,1034322.000000,10499639.000000,4140092000.000000,4480535357.760000,0.002528,10.245164,2018-09-30,2018-10-31,23.969683,,-43.100511,1.978263,10.007214
sh603861,2019-05-07,10.220000,10.480000,10.000000,10.230000,0.002941,1861300.000000,18980906.000000,4185093000.000000,4529236829.040000,0.004550,10.356525,2018-09-30,2018-10-31,24.230223,,-43.568995,1.999765,10.115988
sh603861,2019-05-06,10.860000,10.860000,10.040000,10.200000,-0.079422,1902610.000000,19894521.000000,4172820000.000000,4515954609.600000,0.004651,10.326154,2018-09-30,2018-10-31,24.159166,,-43.441227,1.993901,10.086322
sh603861,2019-04-30,10.700000,11.100000,10.650000,11.080000,0.024030,1363500.000000,15002106.000000,4532828000.000000,4905566379.840000,0.003333,11.217037,2018-09-30,2018-10-31,26.243486,,-47.189097,2.165924,10.956515
sh603861,2019-04-29,11.400000,11.470000,10.350000,10.820000,-0.045013,1754100.000000,19040448.000000,4426462000.000000,4790453811.360000,0.004288,10.953822,2018-09-30,2018-10-31,25.627665,,-46.081772,2.115099,10.699412
sh603861,2019-04-26,11.470000,11.500000,11.300000,11.330000,-0.003518,1015611.000000,11563659.000000,4635103000.000000,5016251541.840000,0.002483,11.470129,2018-09-30,2018-10-31,26.835623,,-48.253833,2.214794,11.203728
sh603861,2019-04-25,11.900000,11.920000,11.330000,11.370000,-0.040506,1652169.000000,19278633.000000,4651467000.000000,5033961167.760000,0.004039,11.510624,2018-09-30,2018-10-31,26.930365,,-48.424191,2.222613,11.243283
sh603861,2019-04-24,11.860000,11.970000,11.680000,11.850000,0.000845,1265900.000000,14972581.000000,4847835000.000000,5246476678.800000,0.003094,11.996561,2018-09-30,2018-10-31,28.067267,,-50.468484,2.316444,11.717933
sh603861,2019-04-23,12.100000,12.180000,11.700000,11.840000,-0.025514,1910501.000000,22709345.000000,4843744000.000000,5242049272.320000,0.004670,11.986437,2018-09-30,2018-10-31,28.043581,,-50.425894,2.314489,11.708045
sh603861,2019-04-22,12.350000,12.480000,12.120000,12.150000,-0.012998,1514400.000000,18633847.000000,4970565000.000000,5379298873.200000,0.003702,12.300271,2018-09-30,2018-10-31,28.777830,,-51.746167,2.375088,12.014590
sh603861,2019-04-19,12.260000,12.350000,12.180000,12.310000,0.004078,1037900.000000,12746376.000000,5036021000.000000,5450137376.880000,0.002537,12.462250,2018-09-30,2018-10-31,29.156798,,-52.427598,2.406365,12.172806
sh603861,2019-04-18,12.430000,12.480000,12.200000,12.260000,-0.017628,1619100.000000,19974335.000000,5015566000.000000,5428000344.480000,0.003958,12.411632,2018-09-30,2018-10-31,29.038370,,-52.214651,2.396591,12.123364
sh603861,2019-04-17,12.410000,12.560000,12.360000,12.480000,0.005641,1629265.000000,20324788.000000,5105568000.000000,5525403287.040000,0.003983,12.634353,2018-09-30,2018-10-31,29.559450,,-53.151618,2.439597,12.340912
sh603861,2019-04-16,12.220000,12.420000,12.040000,12.410000,0.010586,1770300.000000,21651005.000000,5076931000.000000,5494411441.680000,0.004327,12.563487,2018-09-30,2018-10-31,29.393652,,-52.853492,2.425913,12.271692
sh603861,2019-04-15,12.480000,12.640000,12.250000,12.280000,-0.011272,2249100.000000,28045311.000000,5023748000.000000,5436855157.440000,0.005498,12.431879,2018-09-30,2018-10-31,29.085741,,-52.299830,2.400500,12.143141
sh603861,2019-04-12,12.510000,12.710000,12.370000,12.420000,-0.015067,3044300.000000,38081192.000000,5081022000.000000,5498838848.160000,0.007441,12.573610,2018-09-30,2018-10-31,29.417338,,-52.896082,2.427868,12.281581
sh603861,2019-04-11,13.100000,13.120000,12.540000,12.610000,-0.039604,3535294.000000,45451042.000000,5158751000.000000,5582959571.280000,0.008642,12.765960,2018-09-30,2018-10-31,29.867361,,-53.705281,2.465009,12.469463
sh603861,2019-04-10,12.700000,13.130000,12.360000,13.130000,0.024980,5756825.000000,74234291.000000,5371483000.000000,5813184708.240000,0.014072,13.292392,2018-09-30,2018-10-31,31.099005,,-55.919932,2.566659,12.983668
sh603861,2019-04-09,12.910000,13.130000,12.700000,12.810000,0.008661,3512300.000000,45210456.000000,5240571000.000000,5671507700.880000,0.008585,12.968434,2018-09-30,2018-10-31,30.341071,,-54.557070,2.504105,12.667234
sh603861,2019-04-08,12.800000,12.890000,12.550000,12.700000,-0.006260,2691900.000000,34258236.000000,5195570000.000000,5622806229.600000,0.006580,12.857074,2018-09-30,2018-10-31,30.080531,,-54.088586,2.482602,12.558460
sh603861,2019-04-04,12.890000,12.990000,12.720000,12.780000,-0.011601,3163100.000000,40536848.000000,5228298000.000000,5658225481.440000,0.007732,12.938063,2018-09-30,2018-10-31,30.270014,,-54.429302,2.498241,12.637568
sh603861,2019-04-03,12.810000,12.980000,12.760000,12.930000,-0.003084,3509833.000000,45113977.000000,5289663000.000000,5724636578.640000,0.008579,13.089918,2018-09-30,2018-10-31,30.625296,,-55.068143,2.527563,12.785897
sh603861,2019-04-02,13.120000,13.150000,12.920000,12.970000,-0.007651,4265477.000000,55655234.000000,5306027000.000000,5742346204.560000,0.010426,13.130413,2018-09-30,2018-10-31,30.720038,,-55.238501,2.535382,12.825451
sh603861,2019-04-01,12.990000,13.290000,12.900000,13.070000,0.013178,6814870.000000,89338426.000000,5346937000.000000,5786620269.360000,0.016658,13.231650,2018-09-30,2018-10-31,30.956892,,-55.664395,2.554930,12.924336
sh603861,2019-03-29,12.790000,13.000000,12.520000,12.900000,0.017350,3792056.000000,48440256.000000,5277390000.000000,5711354359.200000,0.009269,13.059547,2018-09-30,2018-10-31,30.554240,,-54.940375,2.521698,12.756231
sh603861,2019-03-28,13.020000,13.320000,12.670000,12.680000,-0.034273,4826100.000000,62945929.000000,5187388000.000000,5613951416.640000,0.011797,12.836826,2018-09-30,2018-10-31,30.033160,,-54.003407,2.478693,12.538683
sh603861,2019-03-27,12.720000,13.190000,12.530000,13.130000,0.032233,4337696.000000,55803194.000000,5371483000.000000,5813184708.240000,0.010603,13.292392,2018-09-30,2018-10-31,31.099005,,-55.919932,2.566659,12.983668
sh603861,2019-03-26,13.280000,13.290000,12.460000,12.720000,-0.026034,4283842.000000,54969720.000000,5203752000.000000,5631661042.560000,0.010471,12.877321,2018-09-30,2018-10-31,30.127901,,-54.173765,2.486512,12.578237
sh603861,2019-03-25,12.650000,13.200000,12.500000,13.060000,0.021110,5831394.000000,75688916.000000,5342846000.000000,5782192862.880000,0.014254,13.221526,2018-09-30,2018-10-31,30.933207,,-55.621806,2.552975,12.914448
sh603861,2019-03-22,12.600000,12.790000,12.310000,12.790000,0.018312,3867539.000000,48572346.000000,5232389000.000000,5662652887.920000,0.009454,12.948187,2018-09-30,2018-10-31,30.293700,,-54.471891,2.500195,12.647457
sh603861,2019-03-21,12.500000,12.650000,12.420000,12.560000,0.004800,3809000.000000,47869617.000000,1520831506.160000,5560822538.880000,0.031457,12.715342,2018-09-30,2018-10-31,29.748934,,-53.492334,2.455235,12.420020
sh603861,2019-03-20,12.380000,12.580000,12.180000,12.500000,0.010509,4597500.000000,56897973.000000,1513566387.500000,5534258100.000000,0.037969,12.654600,2018-09-30,2018-10-31,29.606821,,-53.236797,2.443506,12.360689
sh603861,2019-03-19,12.200000,12.380000,12.100000,12.370000,0.013934,3745439.000000,45964527.000000,1497825297.070000,5476701815.760000,0.030932,12.522992,2018-09-30,2018-10-31,29.298910,,-52.683135,2.418094,12.232138
sh603861,2019-03-18,12.150000,12.280000,11.780000,12.200000,0.004942,3064496.000000,36879432.000000,1477240794.200000,5401435905.600000,0.025309,12.350890,2018-09-30,2018-10-31,28.896258,,-51.959114,2.384862,12.064032
sh603861,2019-03-15,11.930000,12.280000,11.930000,12.140000,0.016750,2595200.000000,31422499.000000,1469975675.540000,5374871466.720000,0.021433,12.290147,2018-09-30,2018-10-31,28.754145,,-51.703578,2.373133,12.004701
sh603861,2019-03-14,12.530000,12.530000,11.730000,11.940000,-0.037097,3970742.000000,47761156.000000,1445758613.340000,5286323337.120000,0.032793,12.087674,2018-09-30,2018-10-31,28.280436,,-50.851789,2.334037,11.806930
sh603861,2019-03-13,12.820000,12.880000,12.280000,12.400000,-0.040248,4799657.000000,60757133.000000,1501457856.400000,5489984035.200000,0.039639,12.553363,2018-09-30,2018-10-31,29.369967,,-52.810903,2.423958,12.261803
sh603861,2019-03-12,13.100000,13.450000,12.650000,12.920000,-0.002317,9342200.000000,122236615.000000,1564422218.120000,5720209172.160000,0.077154,13.079794,2018-09-30,2018-10-31,30.601611,,-55.025554,2.525608,12.776008
sh603861,2019-03-11,11.950000,13.000000,11.950000,12.950000,0.087322,7680649.000000,96635796.000000,1568054777.450000,5733491391.600000,0.063432,13.110166,2018-09-30,2018-10-31,30.672667,,-55.153322,2.531472,12.805674
