code.string(),date.date(2006-01-02),open.double(),high.double(),low.double(),close.double(),change.double(),volume.double(),money.double(),traded_market_value.double(),market_value.double(),turnover.double(),adjust_price.double(),report_type.string(),report_date.date(2006-01-02),PE_TTM.double(),PS_TTM.double(),PC_TTM.double(),PB.double(),adjust_price_f.double()
sh601218,2019-06-10,2.810000,2.870000,2.810000,2.860000,0.021429,4517909.000000,12861501.000000,2836433600.000000,2836433600.000000,0.004555,6.347889,2018-09-30,2018-10-27,-27.109005,1.600957,46.129032,1.155136,2.860000
sh601218,2019-06-06,2.910000,2.920000,2.770000,2.800000,-0.037801,7908550.000000,22338835.000000,2776928000.000000,2776928000.000000,0.007974,6.214717,2018-09-30,2018-10-27,-26.540284,1.567370,45.161290,1.130902,2.800000
sh601218,2019-06-05,2.970000,2.980000,2.890000,2.910000,-0.010204,8166900.000000,23913575.000000,2886021600.000000,2886021600.000000,0.008235,6.458866,2018-09-30,2018-10-27,-27.582938,1.628945,46.935484,1.175330,2.910000
sh601218,2019-06-04,3.040000,3.040000,2.910000,2.940000,-0.023256,5591775.000000,16535360.000000,2915774400.000000,2915774400.000000,0.005638,6.525452,2018-09-30,2018-10-27,-27.867299,1.645739,47.419355,1.187447,2.940000
sh601218,2019-06-03,3.020000,3.070000,2.990000,3.010000,-0.013115,7175911.000000,21645025.000000,2985197600.000000,2985197600.000000,0.007236,6.680820,2018-09-30,2018-10-27,-28.530806,1.684923,48.548387,1.215720,3.010000
sh601218,2019-05-31,3.030000,3.100000,3.030000,3.050000,0.009934,5777311.000000,17711109.000000,3024868000.000000,3024868000.000000,0.005825,6.769602,2018-09-30,2018-10-27,-28.909953,1.707314,49.193548,1.231875,3.050000
sh601218,2019-05-30,3.030000,3.060000,2.990000,3.020000,-0.006579,6382500.000000,19281664.000000,2995115200.000000,2995115200.000000,0.006436,6.703016,2018-09-30,2018-10-27,-28.625592,1.690521,48.709677,1.219758,3.020000
sh601218,2019-05-29,3.030000,3.090000,3.020000,3.040000,-0.009772,4950394.000000,15134709.000000,3014950400.000000,3014950400.000000,0.004992,6.747407,2018-09-30,2018-10-27,-28.815166,1.701716,49.032258,1.227836,3.040000
sh601218,2019-05-28,3.120000,3.140000,3.060000,3.070000,-0.012862,9290493.000000,28774750.000000,3044703200.000000,3044703200.000000,0.009368,6.813993,2018-09-30,2018-10-27,-29.099526,1.718509,49.516129,1.239953,3.070000
sh601218,2019-05-27,3.020000,3.140000,3.020000,3.110000,0.016340,10337383.000000,31829396.000000,3084373600.000000,3084373600.000000,0.010423,6.902774,2018-09-30,2018-10-27,-29.478673,1.740900,50.161290,1.256109,3.110000
sh601218,2019-05-24,3.000000,3.080000,2.980000,3.060000,0.009901,9832969.000000,29792567.000000,3034785600.000000,3034785600.000000,0.009915,6.791797,2018-09-30,2018-10-27,-29.004739,1.712912,49.354839,1.235914,3.060000
sh601218,2019-05-23,3.100000,3.100000,3.030000,3.030000,-0.022581,6438347.000000,19602043.000000,3005032800.000000,3005032800.000000,0.006492,6.725211,2018-09-30,2018-10-27,-28.720379,1.696118,48.870968,1.223797,3.030000
sh601218,2019-05-22,3.060000,3.170000,3.010000,3.100000,0.013072,10284582.000000,31713783.000000,3074456000.000000,3074456000.000000,0.010370,6.880579,2018-09-30,2018-10-27,-29.383886,1.735303,50.000000,1.252070,3.100000
sh601218,2019-05-21,3.020000,3.090000,2.970000,3.060000,0.016611,7625099.000000,23235179.000000,3034785600.000000,3034785600.000000,0.007688,6.791797,2018-09-30,2018-10-27,-29.004739,1.712912,49.354839,1.235914,3.060000
sh601218,2019-05-20,3.090000,3.090000,2.930000,3.010000,-0.022727,12204197.000000,36474016.000000,2985197600.000000,2985197600.000000,0.012306,6.680820,2018-09-30,2018-10-27,-28.530806,1.684923,48.548387,1.215720,3.010000
sh601218,2019-05-17,3.280000,3.290000,3.060000,3.080000,-0.060976,13640076.000000,43077583.000000,3054620800.000000,3054620800.000000,0.013753,6.836188,2018-09-30,2018-10-27,-29.194313,1.724107,49.677419,1.243992,3.080000
sh601218,2019-05-16,3.220000,3.320000,3.210000,3.280000,0.006135,10277894.000000,33677595.000000,3252972800.000000,3252972800.000000,0.010363,7.280097,2018-09-30,2018-10-27,-31.090047,1.836062,52.903226,1.324771,3.280000
sh601218,2019-05-15,3.200000,3.270000,3.180000,3.260000,0.028391,8744831.000000,28291787.000000,3233137600.000000,3233137600.000000,0.008817,7.235706,2018-09-30,2018-10-27,-30.900474,1.824867,52.580645,1.316693,3.260000
sh601218,2019-05-14,3.220000,3.250000,3.170000,3.170000,-0.024615,7446015.000000,23877362.000000,3143879200.000000,3143879200.000000,0.007508,7.035947,2018-09-30,2018-10-27,-30.047393,1.774487,51.129032,1.280343,3.170000
sh601218,2019-05-13,3.320000,3.330000,3.220000,3.250000,-0.018127,8812970.000000,28776148.000000,3223220000.000000,3223220000.000000,0.008886,7.213510,2018-09-30,2018-10-27,-30.805687,1.819269,52.419355,1.312654,3.250000
