code.string(),date.date(2006-01-02),open.double(),high.double(),low.double(),close.double(),change.double(),volume.double(),money.double(),traded_market_value.double(),market_value.double(),turnover.double(),adjust_price.double(),report_type.string(),report_date.date(2006-01-02),PE_TTM.double(),PS_TTM.double(),PC_TTM.double(),PB.double(),adjust_price_f.double()
sh603009,2019-06-10,6.150000,6.280000,6.100000,6.200000,0.001616,2324724.000000,14416786.000000,1988123713.000000,2225890848.600000,0.007250,15.868942,2018-09-30,2018-10-26,25.306122,0.979438,29.951691,1.289759,6.200000
sh603009,2019-06-06,6.460000,6.470000,6.120000,6.190000,-0.035826,2880995.000000,18008828.000000,1984917061.850000,2222300702.070000,0.008984,15.843347,2018-09-30,2018-10-26,25.265306,0.977859,29.903382,1.287679,6.190000
sh603009,2019-06-05,6.510000,6.580000,6.400000,6.420000,-0.009259,2785215.000000,18091660.000000,2058670038.300000,2304874072.260000,0.008686,16.432034,2018-09-30,2018-10-26,26.204082,1.014193,31.014493,1.335525,6.420000
sh603009,2019-06-04,6.720000,6.720000,6.380000,6.480000,-0.035714,3556023.000000,23283445.000000,2077909945.200000,2326414951.440000,0.011090,16.585604,2018-09-30,2018-10-26,26.448980,1.023671,31.304348,1.348006,6.480000
sh603009,2019-06-03,6.790000,6.890000,6.690000,6.720000,-0.011765,2777395.000000,18764365.000000,2154869572.800000,2412578468.160000,0.008661,17.199886,2018-09-30,2018-10-26,27.428571,1.061585,32.463768,1.397932,6.720000
sh603009,2019-05-31,6.850000,6.960000,6.800000,6.800000,-0.007299,2291564.000000,15742520.000000,2180522782.000000,2441299640.400000,0.007146,17.404646,2018-09-30,2018-10-26,27.755102,1.074223,32.850242,1.414574,6.800000
sh603009,2019-05-30,7.030000,7.030000,6.710000,6.850000,-0.017217,3574350.000000,24496064.000000,2196556037.750000,2459250373.050000,0.011147,17.532622,2018-09-30,2018-10-26,27.959184,1.082121,33.091787,1.424976,6.850000
sh603009,2019-05-29,7.090000,7.090000,6.920000,6.970000,-0.004286,2892317.000000,20204201.000000,2235035851.550000,2502332131.410000,0.009020,17.839762,2018-09-30,2018-10-26,28.448980,1.101078,33.671498,1.449939,6.970000
sh603009,2019-05-28,7.000000,7.140000,6.950000,7.000000,0.008646,4792150.000000,33819747.000000,2244655805.000000,2513102571.000000,0.014944,17.916548,2018-09-30,2018-10-26,28.571429,1.105818,33.816425,1.456179,7.000000
sh603009,2019-05-27,6.760000,6.950000,6.670000,6.940000,0.038922,3805170.000000,26062430.000000,2225415898.100000,2491561691.820000,0.011866,17.762977,2018-09-30,2018-10-26,28.326531,1.096339,33.526570,1.443698,6.940000
sh603009,2019-05-24,6.860000,6.940000,6.590000,6.680000,-0.027656,4250373.000000,28599340.000000,2142042968.200000,2398217882.040000,0.013255,17.097505,2018-09-30,2018-10-26,27.265306,1.055266,32.270531,1.389611,6.680000
sh603009,2019-05-23,7.030000,7.090000,6.840000,6.870000,-0.015759,3285450.000000,22869093.000000,2202969340.050000,2466430666.110000,0.010246,17.583812,2018-09-30,2018-10-26,28.040816,1.085281,33.188406,1.429136,6.870000
sh603009,2019-05-22,7.100000,7.210000,6.880000,6.980000,-0.022409,3744761.000000,26406890.000000,2238242502.700000,2505922277.940000,0.011678,17.865358,2018-09-30,2018-10-26,28.489796,1.102658,33.719807,1.452019,6.980000
sh603009,2019-05-21,7.190000,7.240000,7.020000,7.140000,-0.001399,4458033.000000,31881277.000000,2289548921.100000,2563364622.420000,0.013902,18.274879,2018-09-30,2018-10-26,29.142857,1.127934,34.492754,1.485303,7.140000
sh603009,2019-05-20,6.850000,7.250000,6.800000,7.150000,0.051471,6630382.000000,46744975.000000,2292755572.250000,2566954768.950000,0.020677,18.300474,2018-09-30,2018-10-26,29.183673,1.129514,34.541063,1.487383,7.150000
sh603009,2019-05-17,7.380000,7.380000,6.750000,6.800000,-0.082321,7613162.000000,53774107.000000,2180522782.000000,2441299640.400000,0.023742,17.404646,2018-09-30,2018-10-26,27.755102,1.074223,32.850242,1.414574,6.800000
sh603009,2019-05-16,7.490000,7.530000,7.340000,7.410000,0.010914,3774300.000000,27938470.000000,2376128502.150000,2660298578.730000,0.011770,18.965945,2018-09-30,2018-10-26,30.244898,1.170587,35.797101,1.541470,7.410000
