code.string(),date.date(2006-01-02),open.double(),high.double(),low.double(),close.double(),change.double(),volume.double(),money.double(),traded_market_value.double(),market_value.double(),turnover.double(),adjust_price.double(),report_type.string(),report_date.date(2006-01-02),PE_TTM.double(),PS_TTM.double(),PC_TTM.double(),PB.double(),adjust_price_f.double()
sz002561,2019-06-10,8.120000,8.240000,8.120000,8.210000,0.006127,514375.000000,4219699.000000,3260598585.450000,3413414230.000000,0.001295,10.803165,2018-09-30,2018-10-27,14.553061,1.795342,14.540681,1.638583,8.210000
sz002561,2019-06-06,8.230000,8.240000,8.120000,8.160000,-0.008505,749311.000000,6132951.610000,3240741103.200000,3392626080.000000,0.001887,10.737372,2018-09-30,2018-10-27,14.464431,1.784408,14.452127,1.628604,8.160000
sz002561,2019-06-05,8.280000,8.300000,8.210000,8.230000,0.001217,569643.000000,4698155.460000,3268541578.350000,3421729490.000000,0.001434,10.829482,2018-09-30,2018-10-27,14.588513,1.799716,14.576103,1.642575,8.230000
sz002561,2019-06-04,8.240000,8.290000,8.180000,8.220000,-0.001215,840100.000000,6916882.000000,3264570081.900000,3417571860.000000,0.002115,10.816323,2018-09-30,2018-10-27,14.570787,1.797529,14.558392,1.640579,8.220000
sz002561,2019-06-03,8.350000,8.380000,8.230000,8.230000,-0.016726,783360.000000,6493817.000000,3268541578.350000,3421729490.000000,0.001972,10.829482,2018-09-30,2018-10-27,14.588513,1.799716,14.576103,1.642575,8.230000
sz002561,2019-05-31,8.330000,8.400000,8.320000,8.370000,0.002395,873317.000000,7295062.560000,3324142528.650000,3479936310.000000,0.002199,11.013701,2018-09-30,2018-10-27,14.836677,1.830331,14.824056,1.670516,8.370000
sz002561,2019-05-30,8.280000,8.410000,8.270000,8.350000,0.002401,997857.000000,8312216.980000,3316199535.750000,3471621050.000000,0.002513,10.987384,2018-09-30,2018-10-27,14.801225,1.825957,14.788635,1.666525,8.350000
sz002561,2019-05-29,8.320000,8.380000,8.280000,8.330000,0.000000,578377.000000,4824993.410000,3308256542.850000,3463305790.000000,0.001456,10.961067,2018-09-30,2018-10-27,14.765773,1.821584,14.753213,1.662533,8.330000
sz002561,2019-05-28,8.280000,8.440000,8.280000,8.330000,0.003614,1074400.000000,8972642.190000,3308256542.850000,3463305790.000000,0.002705,10.961067,2018-09-30,2018-10-27,14.765773,1.821584,14.753213,1.662533,8.330000
sz002561,2019-05-27,8.190000,8.310000,8.150000,8.300000,0.012195,1214363.000000,10005224.540000,3296342053.500000,3450832900.000000,0.003058,10.921592,2018-09-30,2018-10-27,14.712595,1.815023,14.700080,1.656545,8.300000
sz002561,2019-05-24,8.220000,8.220000,8.140000,8.200000,-0.001218,718683.000000,5880139.280000,3256627089.000000,3409256600.000000,0.001810,10.790006,2018-09-30,2018-10-27,14.535335,1.793156,14.522970,1.636587,8.200000
sz002561,2019-05-23,8.250000,8.290000,8.120000,8.210000,-0.003641,1385834.000000,11388672.540000,3260598585.450000,3413414230.000000,0.003489,10.803165,2018-09-30,2018-10-27,14.553061,1.795342,14.540681,1.638583,8.210000
sz002561,2019-05-22,8.370000,8.450000,8.190000,8.240000,-0.014354,1287798.000000,10682425.750000,3272513074.800000,3425887120.000000,0.003243,10.842640,2018-09-30,2018-10-27,14.606239,1.801903,14.593814,1.644570,8.240000
sz002561,2019-05-21,8.250000,8.390000,8.200000,8.360000,0.013333,1008535.000000,8388662.460000,3320171032.200000,3475778680.000000,0.002539,11.000543,2018-09-30,2018-10-27,14.818951,1.828144,14.806346,1.668521,8.360000
sz002561,2019-05-20,8.400000,8.480000,8.150000,8.250000,-0.015513,1566300.000000,12906321.000000,3276484571.250000,3430044750.000000,0.003944,10.855799,2018-09-30,2018-10-27,14.623965,1.804089,14.611525,1.646566,8.250000
sz002561,2019-05-17,8.720000,8.720000,8.380000,8.380000,-0.037887,1951435.000000,16683860.080000,3328114025.100000,3484093940.000000,0.004914,11.026860,2018-09-30,2018-10-27,14.854403,1.832517,14.841767,1.672512,8.380000
sz002561,2019-05-16,8.800000,8.800000,8.670000,8.710000,-0.006842,2382900.000000,20759625.530000,3459173407.950000,3621295730.000000,0.006000,11.461092,2018-09-30,2018-10-27,15.439362,1.904681,15.426228,1.738375,8.710000
sz002561,2019-05-15,9.010000,9.190000,9.010000,9.130000,0.011074,3071937.000000,28000553.350000,3625976258.850000,3795916190.000000,0.007735,11.540043,2018-09-30,2018-10-27,15.545718,1.917802,15.532494,1.750350,8.770000
sz002561,2019-05-14,9.000000,9.070000,8.910000,9.030000,-0.004410,1010153.000000,9082565.880000,3586261294.350000,3754339890.000000,0.002544,11.413646,2018-09-30,2018-10-27,15.375447,1.896796,15.362368,1.731178,8.673943
sz002561,2019-05-13,9.060000,9.120000,9.000000,9.070000,0.000000,1202600.000000,10904056.530000,3602147280.150000,3770970410.000000,0.003028,11.464205,2018-09-30,2018-10-27,15.443555,1.905198,15.430419,1.738847,8.712366
sz002561,2019-05-10,8.920000,9.120000,8.910000,9.070000,0.016816,1790723.000000,16192946.770000,3602147280.150000,3770970410.000000,0.004509,11.464205,2018-09-30,2018-10-27,15.443555,1.905198,15.430419,1.738847,8.712366
sz002561,2019-05-09,8.900000,8.990000,8.820000,8.920000,0.005637,945600.000000,8435820.000000,3542574833.400000,3708605960.000000,0.002381,11.274610,2018-09-30,2018-10-27,15.188149,1.873690,15.175230,1.710090,8.568280
sz002561,2019-05-08,8.700000,9.150000,8.600000,8.870000,0.011403,1977244.000000,17689955.570000,3522717351.150000,3687817810.000000,0.004979,11.211411,2018-09-30,2018-10-27,15.103014,1.863187,15.090167,1.700504,8.520252
