code.string(),date.date(2006-01-02),open.double(),high.double(),low.double(),close.double(),change.double(),volume.double(),money.double(),traded_market_value.double(),market_value.double(),turnover.double(),adjust_price.double(),report_type.string(),report_date.date(2006-01-02),PE_TTM.double(),PS_TTM.double(),PC_TTM.double(),PB.double(),adjust_price_f.double()
sh600787,2019-06-10,5.310000,5.360000,5.220000,5.260000,-0.007547,6987081.000000,36907214.000000,11570953428.320000,11570953433.580000,0.003176,160.176783,2018-09-30,2018-10-31,57.173913,0.651723,5.923423,1.088216,5.260000
sh600787,2019-06-06,5.380000,5.420000,5.260000,5.300000,-0.016698,5870034.000000,31237722.000000,11658945469.600000,11658945474.900000,0.002668,161.394858,2018-09-30,2018-10-31,57.608696,0.656679,5.968468,1.096491,5.300000
sh600787,2019-06-05,5.460000,5.500000,5.380000,5.390000,-0.001852,7695777.000000,41755575.000000,11856927562.480000,11856927567.870001,0.003498,164.135525,2018-09-30,2018-10-31,58.586957,0.667831,6.069820,1.115111,5.390000
sh600787,2019-06-04,5.730000,5.730000,5.360000,5.400000,-0.064125,18542623.000000,101693442.000000,11878925572.799999,11878925578.200001,0.008429,164.440044,2018-09-30,2018-10-31,58.695652,0.669070,6.081081,1.117180,5.400000
sh600787,2019-06-03,5.700000,5.920000,5.700000,5.770000,0.024867,18277132.000000,106314330.000000,12692851954.639999,12692851960.410000,0.008309,175.707232,2018-09-30,2018-10-31,62.717391,0.714913,6.497748,1.193727,5.770000
sh600787,2019-05-31,5.690000,5.710000,5.600000,5.630000,-0.008803,7362011.000000,41546642.000000,12384879810.160000,12384879815.790001,0.003347,171.443971,2018-09-30,2018-10-31,61.195652,0.697567,6.340090,1.164763,5.630000
sh600787,2019-05-30,5.730000,5.770000,5.610000,5.680000,-0.008726,8494729.000000,48133942.000000,12494869861.760000,12494869867.440001,0.003862,172.966564,2018-09-30,2018-10-31,61.739130,0.703762,6.396396,1.175108,5.680000
sh600787,2019-05-29,5.790000,5.820000,5.710000,5.730000,-0.010363,5984587.000000,34432243.000000,12604859913.360001,12604859919.090000,0.002721,174.489157,2018-09-30,2018-10-31,62.282609,0.709957,6.452703,1.185452,5.730000
sh600787,2019-05-28,5.660000,5.810000,5.660000,5.790000,0.022968,10874534.000000,62758501.000000,12736847975.280001,12736847981.070000,0.004943,176.316269,2018-09-30,2018-10-31,62.934783,0.717391,6.520270,1.197865,5.790000
sh600787,2019-05-27,5.530000,5.730000,5.500000,5.660000,0.025362,7514197.000000,42262114.000000,12450873841.120001,12450873846.780001,0.003416,172.357527,2018-09-30,2018-10-31,61.521739,0.701284,6.373874,1.170970,5.660000
