code.string(),date.date(2006-01-02),open.double(),high.double(),low.double(),close.double(),change.double(),volume.double(),money.double(),traded_market_value.double(),market_value.double(),turnover.double(),adjust_price.double(),report_type.string(),report_date.date(2006-01-02),PE_TTM.double(),PS_TTM.double(),PC_TTM.double(),PB.double(),adjust_price_f.double()
sz300093,2019-06-10,7.000000,7.220000,6.950000,7.220000,0.022663,4406839.000000,31328926.000000,1556969527.780000,1559520000.000000,0.020435,13.173140,2018-09-30,2018-10-29,87.834550,4.457217,-297.119342,1.725292,7.220000
sz300093,2019-06-06,6.990000,7.200000,6.850000,7.060000,0.021708,5137503.000000,35999320.080000,1522466047.940000,1524960000.000000,0.023824,12.881214,2018-09-30,2018-10-29,85.888078,4.358442,-290.534979,1.687058,7.060000
sz300093,2019-06-05,6.910000,6.940000,6.770000,6.910000,0.010234,3565407.000000,24551412.040000,1490119035.590000,1492560000.000000,0.016534,12.607534,2018-09-30,2018-10-29,84.063260,4.265840,-284.362140,1.651214,6.910000
sz300093,2019-06-04,6.700000,6.850000,6.620000,6.840000,0.001464,4453900.000000,29993558.000000,1475023763.160000,1477440000.000000,0.020654,12.479816,2018-09-30,2018-10-29,83.211679,4.222626,-281.481481,1.634487,6.840000
sz300093,2019-06-03,6.860000,6.950000,6.600000,6.830000,-0.013006,5952626.000000,40028709.950000,1472867295.670000,1475280000.000000,0.027604,12.461571,2018-09-30,2018-10-29,83.090024,4.216453,-281.069959,1.632097,6.830000
sz300093,2019-05-31,6.810000,6.950000,6.730000,6.920000,0.016153,3263929.000000,22320619.960000,1492275503.080000,1494720000.000000,0.015136,12.625779,2018-09-30,2018-10-29,84.184915,4.272014,-284.773663,1.653604,6.920000
sz300093,2019-05-30,6.890000,6.950000,6.700000,6.810000,-0.020144,5481014.000000,37128709.730000,1468554360.690000,1470960000.000000,0.025417,12.425080,2018-09-30,2018-10-29,82.846715,4.204106,-280.246914,1.627318,6.810000
sz300093,2019-05-29,6.870000,7.000000,6.800000,6.950000,0.005789,2888016.000000,19978114.920000,1498744905.550000,1501200000.000000,0.013392,12.680515,2018-09-30,2018-10-29,84.549878,4.290534,-286.008230,1.660772,6.950000
sz300093,2019-05-28,6.950000,7.060000,6.880000,6.910000,-0.011445,3656140.000000,25463326.600000,1490119035.590000,1492560000.000000,0.016954,12.607534,2018-09-30,2018-10-29,84.063260,4.265840,-284.362140,1.651214,6.910000
sz300093,2019-05-27,6.880000,7.030000,6.740000,6.990000,0.021930,3506535.000000,24346305.360000,1507370775.510000,1509840000.000000,0.016261,12.753497,2018-09-30,2018-10-29,85.036496,4.315228,-287.654321,1.670331,6.990000
sz300093,2019-05-24,6.860000,7.030000,6.710000,6.840000,-0.005814,4484600.000000,30783023.250000,1475023763.160000,1477440000.000000,0.020796,12.479816,2018-09-30,2018-10-29,83.211679,4.222626,-281.481481,1.634487,6.840000
sz300093,2019-05-23,7.160000,7.270000,6.850000,6.880000,-0.039106,4998348.000000,34737878.360000,1483649633.120000,1486080000.000000,0.023178,12.552798,2018-09-30,2018-10-29,83.698297,4.247320,-283.127572,1.644045,6.880000
sz300093,2019-05-22,7.410000,7.450000,7.110000,7.160000,-0.015131,3758801.000000,27232362.180000,1544030722.840000,1546560000.000000,0.017430,13.063668,2018-09-30,2018-10-29,87.104623,4.420176,-294.650206,1.710954,7.160000
sz300093,2019-05-21,7.300000,7.510000,7.220000,7.270000,0.009722,4103330.000000,30287552.600000,1567751865.230000,1570320000.000000,0.019028,13.264366,2018-09-30,2018-10-29,88.442822,4.488084,-299.176955,1.737240,7.270000
sz300093,2019-05-20,7.450000,7.450000,6.640000,7.200000,-0.024390,5583130.000000,39354678.000000,1552656592.800000,1555200000.000000,0.025890,13.136649,2018-09-30,2018-10-29,87.591241,4.444870,-296.296296,1.720512,7.200000
sz300093,2019-05-17,7.610000,7.750000,7.360000,7.380000,-0.030223,5947983.000000,44335454.390000,1591473007.620000,1594080000.000000,0.027582,13.465065,2018-09-30,2018-10-29,89.781022,4.555991,-303.703704,1.763525,7.380000
sz300093,2019-05-16,7.480000,7.750000,7.480000,7.610000,0.020107,5780126.000000,43926738.520000,1641071759.890000,1643760000.000000,0.026804,13.884708,2018-09-30,2018-10-29,92.579075,4.697980,-313.168724,1.818486,7.610000
sz300093,2019-05-15,7.180000,7.510000,7.180000,7.460000,0.038997,5427230.000000,40364408.460000,1608724747.540000,1611360000.000000,0.025167,13.611028,2018-09-30,2018-10-29,90.754258,4.605379,-306.995885,1.782642,7.460000
sz300093,2019-05-14,7.120000,7.340000,7.060000,7.180000,0.000000,5255851.000000,37987021.570000,1548343657.820000,1550880000.000000,0.024373,13.100158,2018-09-30,2018-10-29,87.347932,4.432523,-295.473251,1.715733,7.180000
sz300093,2019-05-13,6.990000,7.180000,6.860000,7.180000,0.011268,6862514.000000,48467538.500000,1548343657.820000,1550880000.000000,0.031823,13.100158,2018-09-30,2018-10-29,87.347932,4.432523,-295.473251,1.715733,7.180000
sz300093,2019-05-10,7.030000,7.310000,6.970000,7.100000,0.009957,6987697.000000,50155354.880000,1531091917.900000,1533600000.000000,0.032403,12.954195,2018-09-30,2018-10-29,86.374696,4.383135,-292.181070,1.696616,7.100000
sz300093,2019-05-09,6.790000,7.130000,6.740000,7.030000,0.036873,7861900.000000,54729769.860000,1515996645.470000,1518480000.000000,0.036457,12.826478,2018-09-30,2018-10-29,85.523114,4.339921,-289.300412,1.679889,7.030000
sz300093,2019-05-08,6.800000,6.930000,6.540000,6.780000,0.013453,7596897.000000,51732205.730000,1462084958.220000,1464480000.000000,0.035228,12.370344,2018-09-30,2018-10-29,82.481752,4.185586,-279.012346,1.620149,6.780000
sz300093,2019-05-07,6.330000,6.720000,6.260000,6.690000,0.050235,7713287.000000,50878641.090000,1442676750.810000,1445040000.000000,0.035768,12.206136,2018-09-30,2018-10-29,81.386861,4.130025,-275.308642,1.598643,6.690000
sz300093,2019-05-06,6.450000,6.510000,5.910000,6.370000,-0.024502,15069833.000000,95063071.190000,1373669791.130000,1375920000.000000,0.069882,11.622285,2018-09-30,2018-10-29,77.493917,3.932475,-262.139918,1.522175,6.370000
sz300093,2019-04-30,6.530000,6.530000,6.530000,6.530000,-0.099310,5762400.000000,37628472.000000,1408173270.970000,1410480000.000000,0.026721,11.914211,2018-09-30,2018-10-29,79.440389,4.031250,-268.724280,1.560409,6.530000
sz300093,2019-04-29,7.350000,7.500000,7.220000,7.250000,-0.017615,7612852.000000,56265964.690000,1563438930.250000,1566000000.000000,0.035302,13.227876,2018-09-30,2018-10-29,88.199513,4.475737,-298.353909,1.732460,7.250000
sz300093,2019-04-26,7.590000,7.600000,7.200000,7.380000,-0.028947,11674658.000000,86555806.020000,1591473007.620000,1594080000.000000,0.054138,13.465065,2018-09-30,2018-10-29,89.781022,4.555991,-303.703704,1.763525,7.380000
sz300093,2019-04-25,8.040000,8.130000,7.600000,7.600000,-0.055901,6399383.000000,50422114.080000,1638915292.400000,1641600000.000000,0.029675,13.866463,2018-09-30,2018-10-29,92.457421,4.691807,-312.757202,1.816096,7.600000
sz300093,2019-04-24,7.950000,8.090000,7.880000,8.050000,0.016414,5565530.000000,44606513.500000,1735956329.450000,1738800000.000000,0.025809,14.687503,2018-09-30,2018-10-29,97.931873,4.969611,-331.275720,1.923628,8.050000
sz300093,2019-04-23,7.800000,8.050000,7.730000,7.920000,0.000000,7880488.000000,62331436.170000,1707922252.080000,1710720000.000000,0.036544,14.450314,2018-09-30,2018-10-29,96.350365,4.889357,-325.925926,1.892564,7.920000
sz300093,2019-04-22,8.180000,8.210000,7.890000,7.920000,-0.032967,8174494.000000,65768855.060000,1707922252.080000,1710720000.000000,0.037907,14.450314,2018-09-30,2018-10-29,96.350365,4.889357,-325.925926,1.892564,7.920000
sz300093,2019-04-19,8.010000,8.220000,7.930000,8.190000,-0.014440,10380441.000000,83743572.550000,1766146874.310000,1769040000.000000,0.048136,14.942938,2018-09-30,2018-10-29,99.635036,5.056039,-337.037037,1.957083,8.190000
sz300093,2019-04-18,8.820000,8.950000,8.040000,8.310000,-0.066292,20848618.000000,176100677.260000,1792024484.190000,1794960000.000000,0.096679,15.161882,2018-09-30,2018-10-29,101.094891,5.130120,-341.975309,1.985758,8.310000
sz300093,2019-04-17,8.280000,8.980000,8.280000,8.900000,0.068427,16659579.000000,144543009.930000,1919256066.100000,1922400000.000000,0.077254,16.238358,2018-09-30,2018-10-29,108.272506,5.494353,-366.255144,2.126744,8.900000
sz300093,2019-04-16,8.410000,8.440000,8.050000,8.330000,0.032218,13138698.000000,108205503.110000,1796337419.170000,1799280000.000000,0.060927,15.198373,2018-09-30,2018-10-29,101.338200,5.142467,-342.798354,1.990537,8.330000
sz300093,2019-04-15,8.160000,8.460000,8.050000,8.070000,0.017654,16153581.000000,133572374.070000,1740269264.430000,1743120000.000000,0.074908,14.723994,2018-09-30,2018-10-29,98.175182,4.981958,-332.098765,1.928408,8.070000
sz300093,2019-04-12,7.990000,8.190000,7.800000,7.930000,-0.012453,9371049.000000,74951321.170000,1710078719.570000,1712880000.000000,0.043456,14.468559,2018-09-30,2018-10-29,96.472019,4.895530,-326.337449,1.894953,7.930000
sz300093,2019-04-11,8.380000,8.520000,8.030000,8.030000,-0.039474,8064042.000000,66494766.880000,1731643394.470000,1734480000.000000,0.037395,14.651013,2018-09-30,2018-10-29,97.688564,4.957264,-330.452675,1.918849,8.030000
sz300093,2019-04-10,8.100000,8.370000,7.970000,8.360000,0.019512,8399920.000000,69092577.310000,1802806821.640000,1805760000.000000,0.038952,15.253109,2018-09-30,2018-10-29,101.703163,5.160988,-344.032922,1.997706,8.360000
sz300093,2019-04-09,8.010000,8.330000,7.920000,8.200000,0.013597,8781587.000000,71497962.820000,1768303341.800000,1771200000.000000,0.040722,14.961184,2018-09-30,2018-10-29,99.756691,5.062213,-337.448560,1.959472,8.200000
sz300093,2019-04-08,7.930000,8.350000,7.860000,8.090000,0.026650,11660943.000000,94494342.580000,1744582199.410000,1747440000.000000,0.054074,14.760485,2018-09-30,2018-10-29,98.418491,4.994305,-332.921811,1.933187,8.090000
sz300093,2019-04-04,7.780000,7.880000,7.730000,7.880000,0.015464,8950167.000000,69963789.840000,1699296382.120000,1702080000.000000,0.041504,14.377332,2018-09-30,2018-10-29,95.863747,4.864663,-324.279835,1.883005,7.880000
sz300093,2019-04-03,7.600000,7.850000,7.590000,7.760000,0.010417,8583815.000000,66237183.500000,1673418772.240000,1676160000.000000,0.039805,14.158388,2018-09-30,2018-10-29,94.403893,4.790582,-319.341564,1.854330,7.760000
sz300093,2019-04-02,7.780000,7.940000,7.650000,7.680000,-0.015385,8977400.000000,69633292.000000,1656167032.320000,1658880000.000000,0.041630,14.012426,2018-09-30,2018-10-29,93.430657,4.741194,-316.049383,1.835213,7.680000
sz300093,2019-04-01,7.580000,7.860000,7.510000,7.800000,0.040000,12126770.000000,93520444.380000,1682044642.200000,1684800000.000000,0.056234,14.231370,2018-09-30,2018-10-29,94.890511,4.815276,-320.987654,1.863888,7.800000
sz300093,2019-03-29,7.390000,7.570000,7.150000,7.500000,0.012146,11878598.000000,88171415.010000,1617350617.500000,1620000000.000000,0.055084,13.684009,2018-09-30,2018-10-29,91.240876,4.630073,-308.641975,1.792200,7.500000
sz300093,2019-03-28,7.400000,7.750000,7.240000,7.410000,0.008163,13758956.000000,102071580.740000,1597942410.090000,1600560000.000000,0.063803,13.519801,2018-09-30,2018-10-29,90.145985,4.574512,-304.938272,1.770694,7.410000
sz300093,2019-03-27,7.000000,7.490000,6.990000,7.350000,0.056034,12632779.000000,91644931.610000,1585003605.150000,1587600000.000000,0.058581,13.410329,2018-09-30,2018-10-29,89.416058,4.537471,-302.469136,1.756356,7.350000
sz300093,2019-03-26,7.460000,7.590000,6.930000,6.960000,-0.036011,9582279.000000,69276382.050000,1500901373.040000,1503360000.000000,0.044435,12.698761,2018-09-30,2018-10-29,84.671533,4.296707,-286.419753,1.663162,6.960000
sz300093,2019-03-25,7.180000,7.420000,7.130000,7.220000,-0.012312,7056348.000000,51380801.870000,1556969527.780000,1559520000.000000,0.032722,13.173140,2018-09-30,2018-10-29,87.834550,4.457217,-297.119342,1.725292,7.220000
sz300093,2019-03-22,7.250000,7.340000,7.090000,7.310000,0.002743,7576511.000000,54648680.230000,1576377735.190000,1578960000.000000,0.035134,13.337348,2018-09-30,2018-10-29,88.929440,4.512777,-300.823045,1.746798,7.310000
sz300093,2019-03-21,7.180000,7.340000,7.180000,7.290000,0.015320,7793185.000000,56666823.280000,1572064800.210000,1574640000.000000,0.036139,13.300857,2018-09-30,2018-10-29,88.686131,4.500431,-300.000000,1.742019,7.290000
sz300093,2019-03-20,7.230000,7.230000,6.960000,7.180000,0.002793,7986426.000000,56766316.350000,1548343657.820000,1550880000.000000,0.037035,13.100158,2018-09-30,2018-10-29,87.347932,4.432523,-295.473251,1.715733,7.180000
sz300093,2019-03-19,7.190000,7.300000,7.130000,7.160000,-0.002786,8555851.000000,61635825.510000,1544030722.840000,1546560000.000000,0.039675,13.063668,2018-09-30,2018-10-29,87.104623,4.420176,-294.650206,1.710954,7.160000
sz300093,2019-03-18,7.030000,7.200000,6.970000,7.180000,0.030129,8818363.000000,62425302.110000,1548343657.820000,1550880000.000000,0.040893,13.100158,2018-09-30,2018-10-29,87.347932,4.432523,-295.473251,1.715733,7.180000
sz300093,2019-03-15,6.880000,7.080000,6.840000,6.970000,0.016035,13339703.000000,92548688.660000,1503057840.530000,1505520000.000000,0.061859,12.717006,2018-09-30,2018-10-29,84.793187,4.302881,-286.831276,1.665552,6.970000
sz300093,2019-03-14,7.500000,7.600000,6.820000,6.860000,-0.094987,21699786.000000,152266525.470000,1479336698.140000,1481760000.000000,0.100627,12.516307,2018-09-30,2018-10-29,83.454988,4.234973,-282.304527,1.639266,6.860000
sz300093,2019-03-13,7.800000,7.950000,7.550000,7.580000,-0.026958,12508152.000000,96840835.350000,1634602357.420000,1637280000.000000,0.058003,13.829972,2018-09-30,2018-10-29,92.214112,4.679460,-311.934156,1.811317,7.580000
sz300093,2019-03-12,7.820000,7.940000,7.610000,7.790000,-0.012674,15747483.000000,122960294.390000,1679888174.710000,1682640000.000000,0.073024,14.213124,2018-09-30,2018-10-29,94.768856,4.809102,-320.576132,1.861499,7.790000
sz300093,2019-03-11,7.330000,7.970000,7.220000,7.890000,0.072011,19651021.000000,148953093.150000,1701452849.610000,1704240000.000000,0.091126,14.395578,2018-09-30,2018-10-29,95.985401,4.870836,-324.691358,1.885395,7.890000
sz300093,2019-03-08,7.000000,7.710000,6.950000,7.360000,0.004093,18262772.000000,132443960.060000,1587160072.640000,1589760000.000000,0.084688,13.428574,2018-09-30,2018-10-29,89.537713,4.543645,-302.880658,1.758746,7.360000
sz300093,2019-03-07,7.070000,7.730000,7.020000,7.330000,0.041193,16720006.000000,123537492.830000,1580690670.170000,1583280000.000000,0.077534,13.373838,2018-09-30,2018-10-29,89.172749,4.525124,-301.646091,1.751577,7.330000
sz300093,2019-03-06,6.930000,7.130000,6.860000,7.040000,0.020290,10509759.000000,73923878.570000,1518153112.960000,1520640000.000000,0.048736,12.844723,2018-09-30,2018-10-29,85.644769,4.346095,-289.711934,1.682279,7.040000
sz300093,2019-03-05,6.770000,6.930000,6.730000,6.900000,0.008772,8730933.000000,59512446.780000,1487962568.100000,1490400000.000000,0.040487,12.589289,2018-09-30,2018-10-29,83.941606,4.259667,-283.950617,1.648824,6.900000
sz300093,2019-03-04,6.700000,6.940000,6.690000,6.840000,0.023952,8865867.000000,60342352.130000,1475023763.160000,1477440000.000000,0.041113,12.479816,2018-09-30,2018-10-29,83.211679,4.222626,-281.481481,1.634487,6.840000
