code.string(),date.date(2006-01-02),open.double(),high.double(),low.double(),close.double(),change.double(),volume.double(),money.double(),traded_market_value.double(),market_value.double(),turnover.double(),adjust_price.double(),report_type.string(),report_date.date(2006-01-02),PE_TTM.double(),PS_TTM.double(),PC_TTM.double(),PB.double(),adjust_price_f.double()
sz300388,2019-06-10,8.930000,8.990000,8.800000,8.960000,0.007874,1075839.000000,9589885.000000,4830483168.000000,4935196663.040000,0.001996,49.174220,2018-09-30,2018-10-26,12.081985,1.458821,-81.012658,2.269504,8.960000
sz300388,2019-06-06,9.120000,9.120000,8.870000,8.890000,-0.014412,1188267.000000,10617532.960000,4792745018.250000,4896640439.110000,0.002204,48.790047,2018-09-30,2018-10-26,11.987594,1.447424,-80.379747,2.251773,8.890000
sz300388,2019-06-05,9.150000,9.170000,9.010000,9.020000,0.000000,1121340.000000,10187462.600000,4862830153.500000,4968244854.980000,0.002080,49.503512,2018-09-30,2018-10-26,12.162891,1.468590,-81.555154,2.284701,9.020000
sz300388,2019-06-04,9.260000,9.260000,9.000000,9.020000,-0.019565,1456070.000000,13233940.500000,4862830153.500000,4968244854.980000,0.002701,49.503512,2018-09-30,2018-10-26,12.162891,1.468590,-81.555154,2.284701,9.020000
sz300388,2019-06-03,9.330000,9.340000,9.110000,9.200000,-0.004329,1871329.000000,17259571.770000,4959871110.000000,5067389430.800000,0.003471,50.491387,2018-09-30,2018-10-26,12.405609,1.497897,-83.182640,2.330294,9.200000
sz300388,2019-05-31,9.170000,9.270000,9.160000,9.240000,0.008734,1532870.000000,14152983.000000,4981435767.000000,5089421558.760000,0.002843,50.710915,2018-09-30,2018-10-26,12.459547,1.504409,-83.544304,2.340426,9.240000
sz300388,2019-05-30,9.210000,9.210000,9.100000,9.160000,-0.009730,1350799.000000,12341624.680000,4938306453.000000,5045357302.840000,0.002506,50.271859,2018-09-30,2018-10-26,12.351672,1.491384,-82.820976,2.320162,9.160000
sz300388,2019-05-29,9.230000,9.380000,9.120000,9.250000,0.002167,1786272.000000,16555772.610000,4986826931.250000,5094929590.750000,0.003313,50.765797,2018-09-30,2018-10-26,12.473031,1.506038,-83.634720,2.342958,9.250000
sz300388,2019-05-28,9.230000,9.360000,9.130000,9.230000,0.006543,3687407.000000,34199641.630000,4976044602.750000,5083913526.770000,0.006840,50.656033,2018-09-30,2018-10-26,12.446063,1.502781,-83.453888,2.337893,9.230000
sz300388,2019-05-27,9.010000,9.200000,8.950000,9.170000,0.020022,1861810.000000,16992815.250000,4943697617.250000,5050865334.830000,0.003453,50.326741,2018-09-30,2018-10-26,12.365156,1.493012,-82.911392,2.322695,9.170000
