code.string(),date.date(2006-01-02),open.double(),high.double(),low.double(),close.double(),change.double(),volume.double(),money.double(),traded_market_value.double(),market_value.double(),turnover.double(),adjust_price.double(),report_type.string(),report_date.date(2006-01-02),PE_TTM.double(),PS_TTM.double(),PC_TTM.double(),PB.double(),adjust_price_f.double()
sz002310,2019-06-10,5.250000,5.390000,5.250000,5.270000,-0.011257,30413009.000000,161614955.000000,8103652412.850000,14152384755.809999,0.019778,241.127975,2018-09-30,2018-10-31,6.223429,0.924610,6.304582,1.166626,5.270000
sz002310,2019-06-06,5.670000,5.680000,5.280000,5.330000,-0.069808,51512359.000000,279585654.050000,8195914110.150000,14313512475.990000,0.033500,243.873265,2018-09-30,2018-10-31,6.294284,0.935137,6.376361,1.179908,5.330000
sz002310,2019-06-05,5.720000,5.840000,5.610000,5.730000,0.003503,55632667.000000,319161328.530000,8810992092.150000,15387697277.190001,0.036179,262.175199,2018-09-30,2018-10-31,6.766651,1.005316,6.854887,1.268457,5.730000
sz002310,2019-06-04,5.790000,5.840000,5.560000,5.710000,-0.038721,64219502.000000,366184237.900000,8780238193.049999,15333988037.129999,0.041763,261.260102,2018-09-30,2018-10-31,6.743033,1.001807,6.830961,1.264029,5.710000
sz002310,2019-06-03,5.890000,6.070000,5.690000,5.940000,0.066427,150486207.000000,880595074.520000,9133908032.700001,15951644297.820000,0.097865,271.783714,2018-09-30,2018-10-31,7.014643,1.042160,7.106113,1.314945,5.940000
sz002310,2019-05-31,5.080000,5.570000,5.070000,5.570000,0.100791,52663894.000000,281238047.100000,8564960899.350000,14958023356.709999,0.034249,254.854425,2018-09-30,2018-10-31,6.577704,0.977244,6.663476,1.233037,5.570000
sz002310,2019-05-30,5.330000,5.330000,4.990000,5.060000,-0.054206,62268417.000000,317597970.630000,7780736472.300000,13588437735.180000,0.040495,231.519460,2018-09-30,2018-10-31,5.975437,0.887766,6.053356,1.120138,5.060000
sz002310,2019-05-29,5.340000,5.410000,5.330000,5.350000,-0.007421,22680604.000000,121869824.840000,8226668009.250000,14367221716.049999,0.014750,244.788362,2018-09-30,2018-10-31,6.317903,0.938646,6.400287,1.184336,5.350000
sz002310,2019-05-28,5.400000,5.530000,5.370000,5.390000,-0.016423,34567452.000000,188161471.240000,8288175807.450000,14474640196.170000,0.022480,246.618555,2018-09-30,2018-10-31,6.365139,0.945663,6.448140,1.193191,5.390000
sz002310,2019-05-27,5.420000,5.490000,5.330000,5.480000,0.018587,21293195.000000,115542106.440000,8426568353.400000,14716331776.440001,0.013847,250.736490,2018-09-30,2018-10-31,6.471422,0.961454,6.555808,1.213114,5.480000
sz002310,2019-05-24,5.370000,5.500000,5.340000,5.380000,-0.003704,21570186.000000,116409084.320000,8272798857.900000,14447785576.139999,0.014028,246.161007,2018-09-30,2018-10-31,6.353330,0.943909,6.436177,1.190977,5.380000
