code.string(),date.date(2006-01-02),open.double(),high.double(),low.double(),close.double(),change.double(),volume.double(),money.double(),traded_market_value.double(),market_value.double(),turnover.double(),adjust_price.double(),report_type.string(),report_date.date(2006-01-02),PE_TTM.double(),PS_TTM.double(),PC_TTM.double(),PB.double(),adjust_price_f.double()
sz300036,2019-06-10,15.120000,15.610000,15.100000,15.440000,0.021840,4468737.000000,69039033.000000,5166032235.200000,6940856946.480000,0.013356,81.822697,2018-09-30,2018-10-18,29.590052,6.672494,80.787007,3.701404,15.440000
sz300036,2019-06-06,15.400000,15.530000,14.880000,15.110000,-0.018831,4321614.000000,65312439.440000,5055618333.800000,6792509615.370000,0.012916,80.073896,2018-09-30,2018-10-18,28.957622,6.529882,79.060341,3.622294,15.110000
sz300036,2019-06-05,15.550000,15.700000,15.370000,15.400000,0.003257,3575603.000000,55587980.750000,5152648732.000000,6922875451.800000,0.010687,81.610721,2018-09-30,2018-10-18,29.513394,6.655207,80.577714,3.691815,15.400000
sz300036,2019-06-04,15.700000,15.870000,15.250000,15.350000,-0.021670,3977798.000000,61987121.630000,5135919353.000000,6900398583.450000,0.011889,81.345751,2018-09-30,2018-10-18,29.417571,6.633599,80.316098,3.679829,15.350000
sz300036,2019-06-03,16.100000,16.150000,15.500000,15.690000,-0.022430,6396543.000000,100762246.630000,5249679130.200000,7053241288.230000,0.019118,83.147546,2018-09-30,2018-10-18,30.069166,6.780533,82.095086,3.761336,15.690000
sz300036,2019-05-31,16.130000,16.190000,15.860000,16.050000,-0.003106,5234817.000000,83870946.550000,5370130659.000000,7215074740.350000,0.015646,85.055329,2018-09-30,2018-10-18,30.759089,6.936109,83.978721,3.847639,16.050000
sz300036,2019-05-30,16.050000,16.200000,15.650000,16.100000,0.001867,6042227.000000,96156845.970000,5386860038.000000,7237551608.700000,0.018059,85.320299,2018-09-30,2018-10-18,30.854912,6.957717,84.240337,3.859625,16.100000
sz300036,2019-05-29,15.930000,16.330000,15.930000,16.070000,-0.009248,6139412.000000,99265776.010000,5376822410.600000,7224065487.690000,0.018349,85.161317,2018-09-30,2018-10-18,30.797418,6.944752,84.083368,3.852433,16.070000
sz300036,2019-05-28,16.400000,16.480000,16.050000,16.220000,-0.007951,8919776.000000,145138383.940000,5427010547.600000,7291496092.740000,0.026659,85.956227,2018-09-30,2018-10-18,31.084886,7.009575,84.868215,3.888392,16.220000
sz300036,2019-05-27,15.550000,16.380000,15.520000,16.350000,0.048749,11403737.000000,183840786.550000,5470506933.000000,7349935950.450000,0.034083,86.645149,2018-09-30,2018-10-18,31.334025,7.065756,85.548417,3.919557,16.350000
sz300036,2019-05-24,16.000000,16.500000,15.570000,15.590000,0.007757,12509318.000000,199437630.120000,5216220372.200000,7008287551.530000,0.037387,82.617606,2018-09-30,2018-10-18,29.877520,6.737317,81.571854,3.737364,15.590000
