code.string(),date.date(2006-01-02),open.double(),high.double(),low.double(),close.double(),change.double(),volume.double(),money.double(),traded_market_value.double(),market_value.double(),turnover.double(),adjust_price.double(),report_type.string(),report_date.date(2006-01-02),PE_TTM.double(),PS_TTM.double(),PC_TTM.double(),PB.double(),adjust_price_f.double()
sz002096,2019-06-10,5.600000,5.760000,5.560000,5.690000,0.014260,1710698.000000,9685522.000000,2109322824.310000,2112623030.000000,0.004615,28.005227,2018-09-30,2018-10-24,122.365591,0.960916,56.448413,1.054133,5.690000
sz002096,2019-06-06,5.750000,5.770000,5.610000,5.610000,-0.022648,1540300.000000,8715313.020000,2079666264.390000,2082920070.000000,0.004155,27.611481,2018-09-30,2018-10-24,120.645161,0.947406,55.654762,1.039312,5.610000
sz002096,2019-06-05,5.890000,5.890000,5.740000,5.740000,-0.015437,1142900.000000,6631508.000000,2127858174.260000,2131187380.000000,0.003083,28.251319,2018-09-30,2018-10-24,123.440860,0.969360,56.944444,1.063396,5.740000
sz002096,2019-06-04,5.920000,5.990000,5.730000,5.830000,-0.016863,1401024.000000,8159147.880000,2161221804.170000,2164603210.000000,0.003779,28.694284,2018-09-30,2018-10-24,125.376344,0.984559,57.837302,1.080070,5.830000
sz002096,2019-06-03,6.030000,6.070000,5.900000,5.930000,-0.019835,1612100.000000,9631020.000000,2198292504.070000,2201731910.000000,0.004349,29.186467,2018-09-30,2018-10-24,127.526882,1.001447,58.829365,1.098596,5.930000
sz002096,2019-05-31,6.060000,6.110000,5.950000,6.050000,0.000000,1845538.000000,11178056.180000,2242777343.950000,2246286350.000000,0.004978,29.777087,2018-09-30,2018-10-24,130.107527,1.021712,60.019841,1.120827,6.050000
sz002096,2019-05-30,6.140000,6.150000,6.010000,6.050000,-0.021036,1871206.000000,11334134.240000,2242777343.950000,2246286350.000000,0.005048,29.777087,2018-09-30,2018-10-24,130.107527,1.021712,60.019841,1.120827,6.050000
sz002096,2019-05-29,6.450000,6.450000,6.100000,6.180000,0.016447,3549756.000000,22072183.220000,2290969253.820000,2294553660.000000,0.009576,30.416925,2018-09-30,2018-10-24,132.903226,1.043666,61.309524,1.144911,6.180000
sz002096,2019-05-28,6.090000,6.130000,6.040000,6.080000,0.000000,1263198.000000,7688806.300000,2253898553.920000,2257424960.000000,0.003408,29.924742,2018-09-30,2018-10-24,130.752688,1.026778,60.317460,1.126385,6.080000
sz002096,2019-05-27,6.010000,6.120000,5.930000,6.080000,0.011647,1488959.000000,9011370.340000,2253898553.920000,2257424960.000000,0.004017,29.924742,2018-09-30,2018-10-24,130.752688,1.026778,60.317460,1.126385,6.080000
sz002096,2019-05-24,5.940000,6.020000,5.900000,6.010000,0.000000,1210450.000000,7224611.670000,2227949063.990000,2231434870.000000,0.003265,29.580214,2018-09-30,2018-10-24,129.247312,1.014957,59.623016,1.113417,6.010000
sz002096,2019-05-23,6.000000,6.090000,5.930000,6.010000,-0.004967,1440500.000000,8656248.000000,2227949063.990000,2231434870.000000,0.003886,29.580214,2018-09-30,2018-10-24,129.247312,1.014957,59.623016,1.113417,6.010000
sz002096,2019-05-22,6.070000,6.110000,6.000000,6.040000,-0.004942,1675500.000000,10137546.230000,2239070273.960000,2242573480.000000,0.004520,29.727869,2018-09-30,2018-10-24,129.892473,1.020023,59.920635,1.118974,6.040000
