code.string(),date.date(2006-01-02),open.double(),high.double(),low.double(),close.double(),change.double(),volume.double(),money.double(),traded_market_value.double(),market_value.double(),turnover.double(),adjust_price.double(),report_type.string(),report_date.date(2006-01-02),PE_TTM.double(),PS_TTM.double(),PC_TTM.double(),PB.double(),adjust_price_f.double()
sz002727,2019-06-10,26.150000,26.940000,25.900000,26.600000,0.019157,3360069.000000,89241263.000000,7774315819.200000,15102676972.600000,0.011497,55.872551,2018-09-30,2018-10-23,28.563106,1.316349,24.785210,3.874574,26.600000
sz002727,2019-06-06,26.610000,26.650000,25.760000,26.100000,-0.020638,5385546.000000,141085108.620000,7628182063.200000,14818792067.100000,0.018427,54.822316,2018-09-30,2018-10-23,28.026206,1.291605,24.319322,3.801743,26.100000
sz002727,2019-06-05,28.400000,28.400000,26.420000,26.650000,-0.060627,6764458.000000,181796321.430000,7788929194.800000,15131065463.150000,0.023145,55.977575,2018-09-30,2018-10-23,28.616796,1.318823,24.831799,3.881857,26.650000
sz002727,2019-06-04,28.710000,29.060000,27.960000,28.370000,-0.009773,1607881.000000,45504346.080000,8291629315.440000,16107629538.070000,0.005501,59.590387,2018-09-30,2018-10-23,30.463734,1.403940,26.434451,4.132393,28.370000
sz002727,2019-06-03,28.580000,29.550000,28.580000,28.650000,-0.001742,2899843.000000,84214670.830000,8373464218.800000,16266605085.150000,0.009922,60.178519,2018-09-30,2018-10-23,30.764398,1.417797,26.695348,4.173178,28.650000
sz002727,2019-05-31,28.110000,29.000000,27.960000,28.700000,0.019176,3522317.000000,101061786.080000,8388077594.400000,16294993575.700001,0.012052,60.283542,2018-09-30,2018-10-23,30.818088,1.420271,26.741937,4.180461,28.700000
sz002727,2019-05-30,28.500000,29.100000,27.680000,28.160000,-0.018815,2887273.000000,81501958.140000,8230253137.920000,15988397877.760000,0.009879,59.149288,2018-09-30,2018-10-23,30.238236,1.393548,26.238779,4.101804,28.160000
sz002727,2019-05-29,28.320000,28.780000,27.900000,28.700000,0.010563,3625041.000000,102929608.720000,8388077594.400000,16294993575.700001,0.012403,60.283542,2018-09-30,2018-10-23,30.818088,1.420271,26.741937,4.180461,28.700000
sz002727,2019-05-28,28.180000,28.940000,28.030000,28.400000,0.007807,4242405.000000,121261858.150000,8300397340.800000,16124662632.400000,0.014515,59.653401,2018-09-30,2018-10-23,30.495948,1.405425,26.462404,4.136763,28.400000
sz002727,2019-05-27,28.560000,28.680000,27.560000,28.180000,-0.012614,5172066.000000,145224688.250000,8236098488.160000,15999753273.980000,0.017696,59.191297,2018-09-30,2018-10-23,30.259712,1.394538,26.257414,4.104718,28.180000
