code.string(),date.date(2006-01-02),open.double(),high.double(),low.double(),close.double(),change.double(),volume.double(),money.double(),traded_market_value.double(),market_value.double(),turnover.double(),adjust_price.double(),report_type.string(),report_date.date(2006-01-02),PE_TTM.double(),PS_TTM.double(),PC_TTM.double(),PB.double(),adjust_price_f.double()
sh601699,2019-06-10,7.850000,7.870000,7.780000,7.860000,0.002551,8954754.000000,70135184.000000,23512476304.139999,23512476312.000000,0.002993,44.127377,2018-09-30,2018-10-26,7.525132,1.662779,9.341574,0.989277,7.860000
sh601699,2019-06-06,7.800000,7.880000,7.740000,7.840000,0.010309,14553334.000000,113604634.000000,23452648120.160000,23452648128.000000,0.004865,44.015094,2018-09-30,2018-10-26,7.505984,1.658548,9.317804,0.986759,7.840000
sh601699,2019-06-05,7.730000,7.860000,7.700000,7.760000,0.015707,15186771.000000,118310463.000000,23213335384.240002,23213335392.000000,0.005077,43.565960,2018-09-30,2018-10-26,7.429392,1.641624,9.222724,0.976690,7.760000
sh601699,2019-06-04,7.630000,7.750000,7.560000,7.640000,0.003942,13344299.000000,102466562.000000,22854366280.360001,22854366288.000000,0.004461,42.892260,2018-09-30,2018-10-26,7.314505,1.616238,9.080105,0.961587,7.640000
sh601699,2019-06-03,7.700000,7.780000,7.520000,7.610000,-0.012970,15656033.000000,119569384.000000,22764624004.389999,22764624012.000000,0.005234,42.723834,2018-09-30,2018-10-26,7.285783,1.609891,9.044450,0.957811,7.610000
sh601699,2019-05-31,7.750000,7.800000,7.670000,7.710000,-0.011538,14052034.000000,108753509.000000,23063764924.290001,23063764932.000000,0.004697,43.285251,2018-09-30,2018-10-26,7.381522,1.631046,9.163299,0.970397,7.710000
sh601699,2019-05-30,7.920000,7.980000,7.750000,7.800000,0.010363,25750779.000000,201822972.000000,23332991752.200001,23332991760.000000,0.008608,43.790527,2018-09-30,2018-10-26,7.467688,1.650086,9.270264,0.981725,7.800000
sh601699,2019-05-29,7.750000,7.820000,7.690000,7.720000,-0.014049,12272789.000000,94991007.000000,23093679016.279999,23093679024.000000,0.004103,43.341393,2018-09-30,2018-10-26,7.391096,1.633162,9.175184,0.971656,7.720000
sh601699,2019-05-28,7.800000,7.860000,7.710000,7.830000,0.003846,17914725.000000,139593845.000000,23422734028.169998,23422734036.000000,0.005989,43.958952,2018-09-30,2018-10-26,7.496410,1.656432,9.305919,0.985501,7.830000
sh601699,2019-05-27,7.710000,7.830000,7.620000,7.800000,0.011673,14829741.000000,114791079.000000,23332991752.200001,23332991760.000000,0.004957,43.790527,2018-09-30,2018-10-26,7.467688,1.650086,9.270264,0.981725,7.800000
sh601699,2019-05-24,7.840000,7.850000,7.620000,7.710000,-0.010270,10592737.000000,81890639.000000,23063764924.290001,23063764932.000000,0.003541,43.285251,2018-09-30,2018-10-26,7.381522,1.631046,9.163299,0.970397,7.710000
sh601699,2019-05-23,7.760000,7.940000,7.650000,7.790000,0.002574,15248396.000000,118792490.000000,23303077660.209999,23303077668.000000,0.005097,43.734385,2018-09-30,2018-10-26,7.458114,1.647970,9.258379,0.980466,7.790000
sh601699,2019-05-22,7.850000,7.970000,7.750000,7.770000,-0.010191,17493699.000000,137520726.000000,23243249476.230000,23243249484.000000,0.005848,43.622102,2018-09-30,2018-10-26,7.438966,1.643739,9.234609,0.977949,7.770000
sh601699,2019-05-21,7.630000,7.850000,7.600000,7.850000,0.030184,15403563.000000,119355455.000000,23482562212.150002,23482562220.000000,0.005149,44.071235,2018-09-30,2018-10-26,7.515558,1.660663,9.329689,0.988018,7.850000
sh601699,2019-05-20,7.690000,7.760000,7.510000,7.620000,-0.009103,16219010.000000,123123345.000000,22794538096.380001,22794538104.000000,0.005422,42.779976,2018-09-30,2018-10-26,7.295357,1.612007,9.056335,0.959070,7.620000
sh601699,2019-05-17,7.900000,7.910000,7.670000,7.690000,-0.029040,18767898.000000,146020850.000000,23003936740.310001,23003936748.000000,0.006274,43.172968,2018-09-30,2018-10-26,7.362374,1.626815,9.139529,0.967880,7.690000
sh601699,2019-05-16,7.800000,7.940000,7.730000,7.920000,0.020619,20028813.000000,157895840.000000,23691960856.080002,23691960864.000000,0.006695,44.464227,2018-09-30,2018-10-26,7.582575,1.675472,9.412883,0.996828,7.920000
sh601699,2019-05-15,7.660000,7.760000,7.610000,7.760000,0.022398,14647882.000000,112829720.000000,23213335384.240002,23213335392.000000,0.004897,43.565960,2018-09-30,2018-10-26,7.429392,1.641624,9.222724,0.976690,7.760000
sh601699,2019-05-14,7.620000,7.680000,7.550000,7.590000,-0.015564,14858075.000000,113035611.000000,22704795820.410000,22704795828.000000,0.004967,42.611551,2018-09-30,2018-10-26,7.266635,1.605660,9.020680,0.955294,7.590000
sh601699,2019-05-13,7.650000,7.800000,7.620000,7.710000,-0.003876,14004972.000000,107926421.000000,23063764924.290001,23063764932.000000,0.004682,43.285251,2018-09-30,2018-10-26,7.381522,1.631046,9.163299,0.970397,7.710000
sh601699,2019-05-10,7.640000,7.750000,7.450000,7.740000,0.027888,18565860.000000,142119855.000000,23153507200.259998,23153507208.000000,0.006206,43.453677,2018-09-30,2018-10-26,7.410244,1.637393,9.198954,0.974173,7.740000
sh601699,2019-05-09,7.600000,7.660000,7.450000,7.530000,-0.019531,19672663.000000,148657787.000000,22525311268.470001,22525311276.000000,0.006576,42.274701,2018-09-30,2018-10-26,7.209191,1.592967,8.949370,0.947742,7.530000
sh601699,2019-05-08,7.630000,7.760000,7.540000,7.680000,-0.010309,16724152.000000,128076632.000000,22974022648.320000,22974022656.000000,0.005591,43.116826,2018-09-30,2018-10-26,7.352800,1.624700,9.127644,0.966621,7.680000
sh601699,2019-05-07,7.770000,7.840000,7.650000,7.760000,0.010417,23766117.000000,184333789.000000,23213335384.240002,23213335392.000000,0.007945,43.565960,2018-09-30,2018-10-26,7.429392,1.641624,9.222724,0.976690,7.760000
sh601699,2019-05-06,8.040000,8.040000,7.560000,7.680000,-0.069091,44345811.000000,344147903.000000,22974022648.320000,22974022656.000000,0.014824,43.116826,2018-09-30,2018-10-26,7.352800,1.624700,9.127644,0.966621,7.680000
